Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
128,NOVALEAD PHARMA PVT LTD,Mauritius,BOXMOOR MAURITIUS LTD,REGION NOT INDICATED,RESEARCH AND EXPERIMENTAL DEVELOPMENT ON NATURAL SCIENCES AND ENGG,121.00,1.89,
129,APTUS VALUE HOUSING FINANCE INDIA LTD,Mauritius,WESTBRIDGE CROSSOVER FUND LLC,REGION NOT INDICATED,HOUSING FINANCE,2.37,0.04,
130,CHUO SENKO ADVERTISING INDIA PVT LTD,Singapore,AD INDIA PTE LTD,REGION NOT INDICATED,BUSINESS OF PROVIDING SERVICES IN RELATION TO ADVERTISING,0.74,0.01,
131,RIETER INDIA PVT LTD,Switzerland,RIETER HOLDING AG,REGION NOT INDICATED,MANUFACTURING OF TEXTILE MACHINES AND COMPONENTS,420.00,6.58,
132,NOBEL HYGIENE P LTD,Singapore,CRYSTAL INVESTMENT HOLDINGS PTE LTD,REGION NOT INDICATED,"MFG AND SELLING OF PERSONAL HYGIENE PRODUCTS LIKE BABY DIAPERS, ADULT DIAPERS, SANITARY NAPKINS, ETC",21.13,0.33,
133,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.08,0.00,
134,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.68,0.01,
135,REXAM HTW BEVERAGES CAN (INDIA) PVT LTD,United Kingdom,REXAM BEVERAGES CAN (INDIA) HOLDING LTD,REGION NOT INDICATED,"MFG, FABRICATION, PROCESING, ASSEMBLING, ETC OF METAL CANS",124.43,1.95,
136,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,3.36,0.05,
137,SEDEMAC MECHATRONICS PVT LTD,Mauritius,NEXUS INDIA VENTURES I INVESTMENTS,REGION NOT INDICATED,"DEVELOP MECHANICAL, ELECTRICAL, ELECTRONICS AND AUTOMATION TECHNOLOGY",10.96,0.17,
138,AURUS NETWORK INFOTECH PVT LTD,Mauritius,IDG VENTURES INDIA FUND II LLC,REGION NOT INDICATED,"DEVELOP AND MAINTAIN ALLIED RESOURCE FACILITIES LIKE LIBRARY, COMPUTER ROOM, ETC IN
ACCOUNTANCY, MANAGEMENT, ETC",1.51,0.02,
139,ORGATREATMENTS PVT LTD,Germany,LIVIA ORGANIC INDUSTRIES AG,"REGION
NOT INDICATED",ORGANIC WASTE MANAGEMENT SYSTEM,0.05,0.00,
140,REVENUEMED (INDIA) PVT LTD,U.S.A,NAVIGANT CONSULTING INC,REGION NOT INDICATED,PROVIDING DATA ENTRY SERVICES,0.16,0.00,
141,GRAMEEN FINANCIAL SERVICES P LTD,Netherlands,CREDIT ACCESS ASIA NV,REGION NOT INDICATED,MICRO FINANCE SERVICES,202.00,3.16,
142,POPCORN APPS SOFTWARE PVT LTD,U.S.A,SRI AVANTSA VENKATA GIRISH,REGION NOT INDICATED,DESIGNING AND PROGRAMMING OF CUSTOM SOFTWARE,3.61,0.06,
143,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,3.33,0.05,
144,NP COMPETE TECHNOLOGIES PVT LTD,U.S.A,AMEEX TECHNOLOGIES CORP,REGION NOT INDICATED,COMPUTER PROGRAMMING,5.02,0.08,
145,THE RATNAKAR BANK LTD,UAE,JAGDISH CHANRAI AND BHARTI J CHANRAI,REGION NOT INDICATED,COMMERCIAL BANKING SERVICES,1.37,0.02,
146,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.23,0.00,
147,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.48,0.01,
148,NP COMPETE TECHNOLOGIES PVT LTD,U.S.A,AMEEX TECHNOLOGIES CORP,REGION NOT INDICATED,COMPUTER PROGRAMMING,0.83,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
149,THE RATNAKAR BANK LTD,UAE,JAGDISH CHANRAI AND BHARTI J CHANRAI,REGION NOT INDICATED,COMMERCIAL BANKING SERVICES,0.78,0.01,
150,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.19,0.00,
151,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.41,0.01,
152,NP COMPETE TECHNOLOGIES PVT LTD,U.S.A,AMEEX TECHNOLOGIES CORP,REGION NOT INDICATED,COMPUTER PROGRAMMING,0.83,0.01,
153,SWISSCLEAR SERVICES PVT LTD,Singapore,SWISSCLEAR GLOBAL PTE LTD,REGION NOT INDICATED,"PROVIDING E-COMMERCE PLATFORM FOR ADVERTISING, SALES, MARKETING, BUSINESS PROMOTION, ETC",0.05,0.00,
154,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,"REGION NOT
INDICATED",SOFTWARE DEVELOPMENT,0.09,0.00,
155,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.64,0.01,
156,MSG IBEXI SOLUTIONS INDIA PVT LTD,Singapore,MSG GLOBAL SOLUTIONS ASIA PTE LTD,REGION NOT INDICATED,PROVIDING SAP AND NON SAP BASED IT APPLICATIONS,66.24,1.04,
157,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.09,0.00,
158,NORTHWEST CONSTRUCTIONS PVT LTD,U.S.A,SIVARAMAKICHENANE SOMASEGAR,REGION NOT INDICATED,"TO CONSTRUCT, BUILD, ACQUIRE, ALTER RESIDENTIAL AND COMMERCIAL BUILDINGS",0.05,0.00,
159,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.11,0.00,
160,COGNITIVESCALE SOFTWARE INDIA PVT LTD,U.S.A,COGNITIVESCALE INC,REGION NOT INDICATED,"SOFTWARE DEVELOPMENT, DESIGHN, TESTING AND MAINTENANCE",0.05,0.00,
161,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.08,0.00,
162,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.29,0.00,
163,MANJUSHREE TEHCNOPACK LTD,Mauritius,LADOGA HOLDINGS LTD,REGION NOT INDICATED,"MFG OF PET BOTTLE, CONTAINER, JAR AND PREFORM",694.27,10.87,
164,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,"REGION NOT
INDICATED",SOFTWARE DEVELOPMENT,0.08,0.00,
165,KSS ABHISHEK SAFETY SYSTEMS PVT LTD,U.S.A,KEY SAFETY SYSTEMS INC,REGION NOT INDICATED,"MANUFACTURING AND SELLING AUTOMOTIVE SEAT BELTS, SEATBELT ASSEMBLIES, AIRBAG MODULE ASSEMBLIES AND STEERING WHEELS",6.58,0.10,
166,GEECY INDUSTRIAL SERVICES PVT LTD,Belgium,VONCOTTE INTERNATIONAL,REGION NOT INDICATED,NON DESTRUCTIVE TESTING INCLUDING RADIOGRAPHIC TESTING AND OTHER FORMS,24.97,0.39,
167,SARVEJANA HEALTHCARE PVT LTD,Mauritius,INDIA LIFE SCIENCES FUND II LLC,REGION NOT INDICATED,HEALTH AND MEDICAL SERVICES,213.14,3.34,
168,GREEN INFRA LTD,Singapore,ATUL MOHAN NARGUND,REGION NOT INDICATED,CONSULTANCY SERVICES TO SUBSIDIARIES ON MANAGEMENT AND STRATEGIC ISSUES,0.01,0.00,
169,CYTESPACE RESEARCH PVT LTD,Singapore,OPPEL GREEFF,REGION NOT INDICATED,CLINICAL RESEARCH SERVICES,3.19,0.05,
170,HYDERABAD CHEMICAL,Japan,NIHON NOHYAKU CO LTD,REGION,MANUFACTURING AND SALE OF,89.38,1.40,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LTD,,,NOT INDICATED,AGROCHEMICAL PRODUCTS INN TECHNICAL AND FORMULATION FORMS,,,
171,BRIGHTER MINDS SOFTWARE PVT LTD,U.S.A,SYSCLOUD INC,REGION NOT INDICATED,COMPUTER PROGRAMMING CONSULTANCY AND RELATED ACTIVITIES,0.10,0.00,
172,FIRST DATA DEVELOPMENT PVT LTD,Singapore,FIRST DATA MERCHANT SOLUTIONS PTE LTD,REGION NOT INDICATED,OTHER IT AND COMPUTER SERVICE ACTIVITIES,0.01,0.00,
173,USHDEV INTERNATIONAL LTD,Singapore,UD TRADING GROUP HOLDING PTE LTD,REGION NOT INDICATED,TRADES IN FERROUS AND NON FERROUS METALS,515.94,8.08,
174,CELIO FUTURE FASHION LTD,Belgium,CELIO INTERNATIONAL SA,REGION NOT INDICATED,"MFG, IMPORT, EXPORT OF CONSUMER PRODUCTS INCLUDING GARMENTS, FASHION APPARELS AND ACCESSORIES",350.00,5.48,
175,REED MUNCH EXHIBITIONS P LTD,Netherlands,REED ELSEVIER OVERSEAS BV,REGION NOT INDICATED,ORGANIZATION OF TRADE SHOWS AND CONVENTIONS,2.99,0.05,
176,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,"REGION NOT
INDICATED",SOFTWARE DEVELOPMENT,2.68,0.04,
177,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,"REGION
NOT INDICATED",SOFTWARE DEVELOPMENT,3.36,0.05,
178,"URBAN LADDER HOME DÉCOR SOLUTIONS
PVT LT",Mauritius,ABG CAPITAL,"REGION NOT
INDICATED",ONLINE MARKETPLACE FOR FURNITURE RETAILERS,6.20,0.10,
179,AAA DIGITAL - X SOLUTIONS PVT LTD,U.S.A,RAMESH SHARMA,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.33,0.01,
180,MERITON INFOTECH PVT LTD,Mauritius,"NEW VERNON PVT EQUITY LTD, TRI-PRO ADMIN",REGION NOT INDICATED,OPERATING AND MAINTAINING INDUSTRIAL PARKS,344.42,5.39,
181,GEECY INDUSTRIAL SERVICES PVT LTD,Belgium,VONCOTTE INTERNATIONAL,REGION NOT INDICATED,NON DESTRUCTIVE TESTING INCLUDING RADIOGRAPHIC TESTING AND OTHER FORMS,24.97,0.39,
182,CLARISE TECHNOLOGIES PVT LTD,Spain,GLOBANT SA,REGION NOT INDICATED,SOFTWARE DEVELOPMENT SERVICES,255.53,4.00,
183,APTUS VALUE HOUSING FINANCE INDIA LTD,Mauritius,WESTBRIDGE CROSSOVER FUND LLC,REGION NOT INDICATED,HOUSING FINANCE,18.26,0.29,
184,FIRST DATA DEVELOPMENT PVT LTD,Singapore,FIRST DATA (SINGAPORE) PTE LTD,REGION NOT INDICATED,OTHER IT AND COMPUTER SERVICE ACTIVITIES,0.01,0.00,
185,OPTIONS COMMUNICATIONS (INDIA) PVT LTD,Singapore,WPP SINGAPORE PTE LTD,REGION NOT INDICATED,ADVERTISING SERVICES,0.10,0.00,
186,NOBEL HYGIENE P LTD,Singapore,CRYSTAL INVESTMENT HOLDINGS PTE LTD,REGION NOT INDICATED,"MFG AND SELLING OF PERSONAL HYGIENE PRODUCTS LIKE BABY DIAPERS, ADULT DIAPERS, SANITARY NAPKINS, ETC",58.49,0.92,
187,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,5.00,0.08,
188,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,22.99,0.36,
189,URBAN LADDER HOME DÉCOR SOLUTIONS PVT LT,Mauritius,LTR FOCUS FUND,REGION NOT INDICATED,ONLINE MARKETPLACE FOR FURNITURE RETAILERS,4.96,0.08,
190,USHDEV INTERNATIONAL LTD,Singapore,UD TRADING GROUP HOLDING PTE LTD,REGION NOT INDICATED,TRADES IN FERROUS AND NON FERROUS METALS,665.74,10.42,
191,CLARISE TECHNOLOGIES PVT,Spain,GLOBANT SA,REGION NOT,SOFTWARE DEVELOPMENT SERVICES,15.61,0.24,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LTD,,,INDICATED,,,,
192,APTUS VALUE HOUSING FINANCE INDIA LTD,Mauritius,WESTBRIDGE CROSSOVER FUND LLC,REGION NOT INDICATED,HOUSING FINANCE,9.22,0.14,
193,ELSAMEX,Spain,ELSAMEX SA,REGION NOT INDICATED,ROAD INFRASTRUCTURE AND OPERATION MAINTENANCE,0.46,0.01,
194,GREEN INFRA LTD,Singapore,TAN CHENG GUAN,REGION NOT INDICATED,CONSULTANCY SERVICES TO SUBSIDIARIES ON MANAGEMENT AND STRATEGIC ISSUES,0.01,0.00,
195,RELIC SOFTWARE SOLUTIONS PVT LTD,U.S.A,GREAT LAKES CONSULTING GROUP LLC,REGION NOT INDICATED,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",0.05,0.00,
196,JOYCE INTERNATIONAL FOODS PVT LTD,HongKong,JOYCE INTERNATIONAL FOODS (HK) LTD,REGION NOT INDICATED,"DEALRE, IMPORTER, EXPORTER AND AGENT IN SEA FOOD",0.10,0.00,
197,ANI TECHNOLOGIES PVT LTD,Mauritius,FO MAURITIUS I LTD,REGION NOT INDICATED,"DATA PROCESSING, SOFTWARE DEVELOPMENT TO PROVIDE PLATFORM FOR CAB SERVICE",9.52,0.15,
198,BSL SCAFOLDING LTD,Singapore,BSL INTERNATIONAL PTE LTD,REGION NOT INDICATED,ONLINE MARKET PLACE FOR FURNITURE RETAILERS,12.69,0.20,
199,CYTESPACE RESEARCH PVT LTD,St. Vincent,JACESA INVESTMENTS LTD,REGION NOT INDICATED,CLINICAL RESEARCH SERVICES,5.08,0.08,
200,GREEN INFRA LTD,Singapore,ATUL MOHAN NARGUND,REGION NOT INDICATED,CONSULTANCY SERVICES TO SUBSIDIARIES ON MANAGEMENT AND STRATEGIC ISSUES,0.00,0.00,
201,VEEBA TECHNOLOGIES PVT LTD,U.S.A,BEATAOUT INC,REGION NOT INDICATED,PURCHASE AND SALE OF VEHICLES,0.00,0.00,
202,NIMBLE STORAGE INDIA PVT LTD,U.S.A,NIMBLE STORAGE GLOBAL INC,REGION NOT INDICATED,"DATA PROCESSING, HOSTING AND RELATED ACTIVITIES",0.10,0.00,
203,FRESENIUS KABI ONCOLOGY LTD,Singapore,FRESENIUS KABI (SINGAPORE) PTE LTD,REGION NOT INDICATED,"RESEARCH, DEVELOPMENT, PRODUCTION, MANUFACTURE, SALE, MARKETING, PROMOTION AND DISTRIBUTION OF FORMULATIONS USED IN THE TREATMENT OF
ONCOLOGY PATIENTS.",0.01,0.00,
204,ANI TECHNOLOGIES PVT LTD,Singapore,INTERNET FUND III PTE LTD,REGION NOT INDICATED,"DATA PROCESSING, SOFTWARE DEVELOPMENT TO PROVIDE PLATFORM FOR CAB SERVICE",352.34,5.52,
205,GREEN INFRA LTD,Singapore,ATUL MOHAN NARGUND,REGION NOT INDICATED,CONSULTANCY SERVICES TO SUBSIDIARIES ON MANAGEMENT AND STRATEGIC ISSUES,0.00,0.00,
206,HIPPILY TECHNOLOGY PVT LTD,U.S.A,HIPPILY INC,REGION NOT INDICATED,"SOFTWARE DESIGNING, DEVELOPMENT, CUSTOMIZATION, IMPLEMENTATION, MAINTENANCE, TESTINNG, ETC..",0.10,0.00,
207,GRUSAMAR INDIA LTD,Spain,GRUSAMAR INGENIERIA Y CONSULTING SL,REGION NOT INDICATED,CONSULTING ENGINEERING,0.02,0.00,
208,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATIONS FORMS,89.38,1.40,
209,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATIONS FORMS,417.66,6.54,
210,ANI TECHNOLOGIES PVT LTD,Singapore,INTERNET FUND III PTE LTD,"REGION NOT
INDICATED","DATA PROCESSING, SOFTWARE DEVELOPMENT TO PROVIDE PLATFORM
FOR CAB SERVICE",190.45,2.98,
211,FRESENIUS KABI ONCOLOGY LTD,Singapore,FRESENIUS KABI (SINGAPORE) PTE LTD,"REGION
NOT INDICATED","RESEARCH, DEVELOPMENT,
PRODUCTION, MANUFACTURE, SALE, MARKETING ETC..",0.01,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
212,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATIONN FORMS,29.79,0.47,
213,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,"MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATIONN
FORMS",200.80,3.14,
214,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,"REGION NOT
INDICATED","MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN
TECHNICAL AND FORMULATION FORMS",74.48,1.17,
Grand Total,,,,,,"17,900.12",280.30,
