Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING JUNE, 2015",,,,,,,,
27,"SAMVARDHANA
MOTHERSON FINANCE LTD",Italy,MENICHINI FABIO,"REGION
NOT INDICATED","GROUP COMPANY HAVING INVESTMENT
IN SUBSIDIARY JV MANUFACTURING AUTO PARTS",0.14,0.00,
28,CYTESPACE RESEARCH PVT LTD,St. Vincent,JACESA INVESTMENTS LTD,"REGION NOT
INDICATED",CLINICAL RESEARCH SERVICES,2.67,0.04,
29,CYTESPACE RESEARCH PVT LTD,South Africa,OPPEL GREEFF,REGION NOT INDICATED,CLINICAL RESEARCH SERVICES,4.52,0.07,
30,PS AUTOMATION INDIA PVT LTD,Germany,PS AUTOMATION GMBH,REGION NOT INDICATED,"MFG. DESIGNING, REPAIRING AND DEALING IN AUTOMATED VALVES",2.00,0.03,
31,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS INN TECHNICAL AND FORMULATION FORMS,134.08,2.10,
32,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,263.65,4.13,
33,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,316.38,4.95,
34,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,184.55,2.89,
35,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,5.27,0.08,
36,GREEN INFRA LTD,Singapore,SEMBCORP UTILITIES PTE LTD,REGION NOT INDICATED,CONSULTANCY SERVICES TO SUBSIDIARIES ON MANAGEMENT AND STRATEGIC ISSUES,40.30,0.63,
37,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS INN TECHNICAL AND FORMULATION FORMS,7.03,0.11,
38,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS INN TECHNICAL AND FORMULATION FORMS,17.58,0.28,
39,GREEN INFRA LTD,Singapore,TAN CHENG GUAN,REGION NOT INDICATED,CONSULTANCY SERVICES TO SUBSIDIARIES ON MANAGEMENT AND STRATEGIC ISSUES,0.01,0.00,
40,EQUINOX EPC ENGINEERING INDIA LTD,Canada,EQUINOX ENGINEERING LTD,REGION NOT INDICATED,DESIGN ENGINEERING SERVICES,1.51,0.02,
41,CYTESPACE RESEARCH PVT LTD,St. Vincent,JACESA INVESTMENT LTD,"REGION NOT
INDICATED",CLINICAL RESEARCH SERVICES,5.08,0.08,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
42,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS INN TECHNICAL AND FORMULATION FORMS,184.55,2.89,
43,SAMVARDHANA MOTHERSON FINANCE LTD,Spain,STEPHAN GONZALEZ LEMONNIER,REGION NOT INDICATED,GROUP COMPANY HAVING INVESTMENT IN SUBSIDIARY JV MANUFACTURING AUTO PARTS,0.04,0.00,
44,SAMVARDHANA MOTHERSON FINANCE LTD,Spain,ESTHER GONZALEZ,REGION NOT INDICATED,GROUP COMPANY HAVING INVESTMENT IN SUBSIDIARY JV MANUFACTURING AUTO PARTS,0.04,0.00,
45,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,87.89,1.38,
46,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,87.89,1.38,
47,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,"REGION NOT
INDICATED","MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN
TECHNICAL AND FORMULATION FORMS",174.27,2.73,
48,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,58.10,0.91,
49,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,5.27,0.08,
50,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,32.16,0.50,
51,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,1.76,0.03,
52,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,3.52,0.06,
53,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS IN TECHNICAL AND FORMULATION FORMS,7.03,0.11,
54,GLOBAL EDUCATION EDGE PVT LTD,U.S.A,ZEPHYR SOLAKIAN,REGION NOT INDICATED,EDUCATION SUPPORT SERVICES,0.03,0.00,
55,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS INN TECHNICAL AND FORMULATION FORMS,14.90,0.23,
56,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,REGION NOT INDICATED,MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS INN TECHNICAL AND FORMULATION FORMS,52.73,0.83,
57,HYDERABAD CHEMICAL LTD,Japan,NIHON NOHYAKU CO LTD,"REGION NOT
INDICATED","MANUFACTURING AND SALE OF AGROCHEMICAL PRODUCTS INN
TECHNICAL AND FORMULATION FORMS",52.73,0.83,
58,GREEN INFRA LTD,Singapore,KOH CHIAP KHIONG,REGION NOT INDICATED,CONSULTANCY SERVICES TO SUBSIDIARIES ON MANAGEMENT AND STRATEGIC ISSUES,0.01,0.00,
59,GREEN INFRA LTD,Singapore,SEMBCORP UTILITIES PTE LTD,REGION NOT INDICATED,CONSULTANCY SERVICES TO SUBSIDIARIES ON MANAGEMENT AND STRATEGIC ISSUES,"2,667.07",41.76,
60,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.10,0.00,
61,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,0.74,0.01,
62,MICROCHEM SILLIKER PVT LTD,U.S.A,MERIEUX NUTRISCIENCES CORPORATION,REGION NOT INDICATED,TECHNICAL TESTING AND ANALYSIS SERVICES,139.64,2.19,
63,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT,SOFTWARE DEVELOPMENT,0.20,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,INDICATED,,,,
64,FOREEVERMARK DIAMONDS PVT LTD,United Kingdom,DE BEERS UK LTD,REGION NOT INDICATED,PUBLICITY AND PROMOTION OF DIAMONDS AND DIAMOND JEWELLERY,0.10,0.00,
65,SERVION GLOBAL SOLUTIONS LTD,Singapore,EVERTECH HOLDINGS PTE LTD,REGION NOT INDICATED,SOFTWARE DEVELOPMENT,5.00,0.08,
