Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
311,DAESEUNG AUTOPARTS INDIA PRIVATE LIMITE,South Korea,Daeseung Precision Co. Ltd,CHENNAI,Manufacture of other attachments to motor vehicles n.e.c.,14.15,0.22,
312,DAESEUNG AUTOPARTS INDIA PRIVATE LIMITE,South Korea,Daeseung Precision Co. Ltd,CHENNAI,Manufacture of other attachments to motor vehicles n.e.c.,158.29,2.48,
313,DAESEUNG AUTOPARTS INDIA PRIVATE LIMITED,South Korea,Daeseung Precision Co.Ltd,CHENNAI,Manufacture of other attachments to motor vehicles n.e.c.,3.76,0.06,
314,DAESEUNG AUTOPARTS INDIA PRIVATE LIMITE,South Korea,Daeseung Precision Co.Ltd,CHENNAI,Manufacture of other attachments to motor vehicles n.e.c.,135.06,2.11,
315,DAESEUNG AUTOPARTS INDIA PRIVATE LIMITE,South Korea,daeseung Precision Co.Ltd,CHENNAI,Manufacture of other attachments to motor vehicles n.e.c.,165.30,2.59,
316,DAESEUNG AUTOPARTS INDIA PRIVATE LIMITE,South Korea,Daeseung Precision Co.Ltd,CHENNAI,Manufacture of other attachments to motor vehicles n.e.c.,295.57,4.63,
317,DAESEUNG AUTOPARTS INDIA PRIVATE LIMITE,South Korea,Daeseung Precision Co.Ltd,CHENNAI,Manufacture of other attachments to motor vehicles n.e.c.,548.10,8.58,
318,VIRTUS IT SERVICES PVT. LTD.,Kuwait,VIRTUS GROUP GENERAL TRADING & CONTRACTI,KOCHI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",4.47,0.07,
319,VIRTUS IT SERVICES PVT. LTD.,Kuwait,VIRTUS GROUP GENERAL TRADING & CONTRACTI,KOCHI,"Writing , modifying, testing of computer
program to meet the needs of a particular client excluding web-page",8.19,0.13,
320,VIBER MEDIA INDIA PRIVATE LIMITED,Luxembourg,Viber Media S.A.R.L,NEW DELHI,Other business support service activities n.e.c.,0.09,0.00,
321,SOGEFI-MNR ENGINE SYSTEMS INDIA (PVT) LT,Luxembourg,"SYSTEMS, MOTEURS CHINA S.A.R.L",BANGALORE,Manufacture of computers and peripheral equipment n.e.c.,0.00,0.00,
322,GOLDSTAR ESERVICES,Luxembourg,Tripda India HLD SCSP,NEW DELHI,Wholesale of umbrella and clothing,6.69,0.10,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PRIVATE LIMITED,,,,accessories,,,
323,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,ITT INDUSTRIES LUXEMBOURG SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",233.84,3.66,
324,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM HOLDING SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",50.50,0.79,
325,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM LUXEMBOURG SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",143.73,2.25,
326,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM HOLDING SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",66.30,1.04,
327,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM LUXEMBOURG SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",188.70,2.95,
328,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM HOLDING SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",56.26,0.88,
329,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM LUXEMBOURG SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",160.14,2.51,
330,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM HOLDING SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",65.00,1.02,
331,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM LUXEMBOURG SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",185.00,2.90,
332,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM HOLDING SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",57.20,0.90,
333,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,XYLEM LUXEMBOURG SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",162.80,2.55,
334,XYLEM WATER SOLUTIONS INDIA PVT LTD,Luxembourg,ITT INDUSTRIES HOLDING SARL,AHMEDABAD,"Manufacture of other pumps, compressors, taps and valves etc.",82.16,1.29,
335,LUBRIZOL ADVANCED MATERIALS INDIA PVT LT,Luxembourg,LUBRIZOL LUXEMBOURG S.A.R.L,MUMBAI,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)",156.00,2.44,
336,FERRERO INDIA PVT. LTD.,Luxembourg,Ferrero International S.A,BANGALORE,Manufacture of cocoa products,0.00,0.00,
337,FERRERO INDIA PVT. LTD.,Luxembourg,Magic Production Group S.A,BANGALORE,Manufacture of cocoa products,66.30,1.04,
338,SATHYA AUTO PRIVATE LIMITED,Malaysia,UMW M AND E SDN BHD,CHENNAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",39.26,0.61,
339,TECPROTEC ASIA PVT LTD,Malaysia,"Mark Richard Simmons, kuala lumpur",MUMBAI,Other information service activities n.e.c.,0.75,0.01,
340,CHR KK HILLLS RESORT PRIVATE LIMITED,Malaysia,Rabindra harichandra,CHENNAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",0.16,0.00,
341,SATHYA AUTO PRIVATE LIMITED,Malaysia,UMW M AND E SDN BHD,CHENNAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as
brakes, gearboxes, axles, road",25.44,0.40,
342,SYMPHONY HR SOLUTIONS INDIA PRIVATE LIMI,Malaysia,SYMPHONY HRS SDN BHD,BANGALORE,Human resources provision and management of human resources functions,0.10,0.00,
343,SYMPHONY HR SOLUTIONS INDIA PRIVATE LIMI,Malaysia,JOHN GERARD CANTILLON,BANGALORE,Human resources provision and management of human resources functions,0.00,0.00,
344,DISTRIBUTION LOGISTICS INFRASTRUCTURE PV,Mauritius,DISTRIBUTION AND LOGISTICS INFRASTRUCTUR,BANGALORE,Freight rail transport,101.01,1.58,
345,SSN LOGISTICS PRI8VATE LIMITED,Mauritius,Nexus Opportunity Fund Ltd,NEW DELHI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",620.00,9.71,
346,SSN LOGISTICS PRI8VATE LIMITED,Mauritius,Nexus Ventures III Limited,NEW DELHI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",730.00,11.43,
347,SSN LOGISTICS PRI8VATE LIMITED,Mauritius,Multiples Private Equity Fund I Limited,NEW DELHI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",336.74,5.27,
348,GFB GREAT FOODS PRIVATE LIMITED,Mauritius,Great Food and Beverage,NEW DELHI,"Manufacture of ice-cream, kulfi etc.",29.15,0.46,
349,GFB GREAT FOODS PRIVATE LIMITED,Mauritius,great food and beverage,NEW DELHI,"Manufacture of ice-cream, kulfi etc.",31.77,0.50,
350,"JHM INTERSTATE HOTELS
(I) PVT. LTD.-NOW",Mauritius,JHM INTERSTATE HOTELS INDIA LLC,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",17.69,0.28,
351,DISHA MICROFIN PRIVATE LIMITED,Mauritius,INDIUM IV (MAURITIUS) HOLDINGS LIMITED,AHMEDABAD,"Other financial service activities, except insurance and pension funding activities, n.e.c.",16.00,0.25,
352,MANAK WASTE MANAGEMENT PRIVATE LIMITED,Mauritius,Bessemer India Capital Holdings II Ltd,NEW DELHI,Materials recovery,0.97,0.02,
353,MANAK WASTE MANAGEMENT PRIVATE LIMITED,Mauritius,Bessemer India Capital Holdings II Ltd,NEW DELHI,Materials recovery,14.03,0.22,
354,ADANI ENTERPRISES LIMITED,Mauritius,SILVER STALLION LTD.,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,59.10,0.93,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
355,ADANI ENTERPRISES LIMITED,Mauritius,SWISS FINANCE CORP MAURITIUS LTD.,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,13.00,0.20,
356,ADANI ENTERPRISES LIMITED,Mauritius,QUINTESSENCE MAURITIUS WEST FUND,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,7.09,0.11,
357,ADANI ENTERPRISES LIMITED,Mauritius,QVT MAURITIUS WEST FUND,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,"1,128.79",17.68,
358,ADANI ENTERPRISES LIMITED,Mauritius,SILVER STALLION LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,184.78,2.89,
359,ADANI ENTERPRISES LIMITED,Mauritius,BROOKDALE INDIA VALUE FIND LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,118.20,1.85,
360,ADANI ENTERPRISES LIMITED,Mauritius,SILVER STALLION LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,49.25,0.77,
361,ADANI ENTERPRISES LIMITED,Mauritius,INDIA DIVERSIFIED MAURITIUS LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,6.70,0.10,
362,GFB GREAT FOODS PRIVATE LIMITED,Mauritius,Great food and Beverage,NEW DELHI,"Manufacture of ice-cream, kulfi etc.",32.30,0.51,
363,GFB GREAT FOODS PRIVATE LIMITED,Mauritius,Great food and Beverage,NEW DELHI,"Manufacture of ice-cream, kulfi etc.",17.26,0.27,
364,"URBANCLAP TECHNOLOGIES INDIA
PRIVATE LIM",Mauritius,Saif Partners India V Limited,NEW DELHI,Other business support service activities n.e.c.,1.89,0.03,
365,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIM,Mauritius,Saif Partners India V Limited,NEW DELHI,Other business support service activities n.e.c.,44.15,0.69,
366,ADANI ENTERPRISES LIMITED,Mauritius,SILVER STALLION LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,37.43,0.59,
367,TAMUL PLATES MARKETING PRIVATE LIMITED,Mauritius,Lesing Mauritius Limited,NEW DELHI,"Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables",0.00,0.00,
368,TAMUL PLATES MARKETING PRIVATE LIMITED,Mauritius,Lesing Mauritius Limited,NEW DELHI,"Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables",1.81,0.03,
369,ADANI ENTERPRISES LIMITED,Mauritius,SILVER STALLION LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,78.80,1.23,
370,ADANI ENTERPRISES LIMITED,Mauritius,BARCLAYS CAPITAL MAURITIUS LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,197.00,3.08,
371,ADANI ENTERPRISES LIMITED,Mauritius,MORGAN STANLEY MAURITIUS COMPANY LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,78.80,1.23,
372,ADANI ENTERPRISES LIMITED,Mauritius,SILVER STALLION LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,94.56,1.48,
373,ADANI ENTERPRISES LIMITED,Mauritius,MORGAN STANLEY MAURITIUS COMPANY LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,90.22,1.41,
374,ADANI ENTERPRISES LIMITED,Mauritius,SWISS FINANCE CORP MAURITIUS LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,2.76,0.04,
375,ADANI ENTERPRISES LIMITED,Mauritius,SILVER STALLION LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,5.91,0.09,
376,GOLDVIP TECHNOLOGY SOLUTIONS PRIVATE LIM,Mauritius,Accel India IV (MAURITIUS) Limited,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",2.50,0.04,
377,GOLDVIP TECHNOLOGY SOLUTIONS PRIVATE LIM,Mauritius,Accel India IV,NEW DELHI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",166.62,2.61,
378,APEX MEADOWS PVT LTD,Mauritius,SRS Investments (Mauritius) Ltd,HYDERABAD,Construction of buildings carried out on own- account basis or on a fee or contract basis,15.37,0.24,
379,SARVEJANA HEALTHCARE PVT LTD,Mauritius,"India Life Sciences Fund-II, LLC",HYDERABAD,Hospital activities,600.00,9.40,
380,HINDUJA HEALTHCARE PVT LTD,Mauritius,AMAS MAURITIUS LTD,MUMBAI,Hospital activities,114.41,1.79,
381,AHIMSA  HOSPITALITY PVT LTD ( FOR AHIMSA,Mauritius,Ahimsa Brands (Mauritius) Limited,MUMBAI,Bars and Restaurants with bars,8.08,0.13,
382,AA INDIAN DEVELOPEMENT CAPITAL ADVISORS,Mauritius,AA Development Capital Investment Manage,MUMBAI,Activities auxiliary to financial service activities n.e.c.,23.02,0.36,
383,BIG SHOE BAZAAR INDIA PVT LTD,Mauritius,NEXUS INDIA DIRECT INVESTMENTS-II,NEW DELHI,Other non-specialised wholesale trade n.e.c.,20.01,0.31,
384,PROCESS NINE TECHNOLOGIES PRIVATE LIMITE,Mauritius,HayStack Investments Limited,NEW DELHI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.38,0.01,
385,WHIZDM INNOVATIONS PRIVATE LIMITED,Mauritius,ACCEL INDIA IV (MAURITIUS) LIMITED,BANGALORE,Other information technology and computer service activities n.e.c,102.70,1.61,
386,WHIZDM INNOVATIONS PRIVATE LIMITED,Mauritius,RIBBIT CAPITAL,BANGALORE,Other information technology and computer service activities n.e.c,146.28,2.29,
387,FIRKI WHOLESALE PRIVATE,Mauritius,Seedfund2 International,NEW DELHI,"Wholesale of telephone, mobile phone and",14.59,0.23,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIMITED,,,,communications equipment and parts,,,
388,FIRKI WHOLESALE PRIVATE LIMITED,Mauritius,SeedFund2 International,NEW DELHI,"Wholesale of telephone, mobile phone and communications equipment and parts",4.86,0.08,
389,NITESH RESIDENCY HOTELS PVT. LTD.,Mauritius,CPI INDIA I LIMITED,BANGALORE,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",313.00,4.90,
390,BRANDIS MANUFACTURING AND MARKETING P LT,Mauritius,PEEPUL CAPITAL FUND III LLC,BANGALORE,Manufacture of all types of textile garments and clothing accessories,63.35,0.99,
391,VOONIK TECHNOLOGIES PRIVATE LTD,Mauritius,Sequoia Capital India Investments IV,CHENNAI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",160.01,2.51,
392,AMAGI MEDIA LABS PVT LTD,Mauritius,MAYFIELD FVCI LIMITED,BANGALORE,Market research and public opinion polling,35.00,0.55,
393,STS TRANSPORT,Mauritius,Gems Education (Asia) 2 Ltd.,NEW DELHI,Urban or suburban passenger bus transport (excluding chartered bus),0.10,0.00,
394,PROGNOSYS MEDICAL SYSTEMS PRIVATE LIMITE,Mauritius,SOMERSET INDUS HEALTHCARE FUND I,BANGALORE,Manufacture of other electrical equipment,50.00,0.78,
395,QUICKO TECHNOSOFT LABS PRIVATE LIMITED,Mauritius,HELION VENTURE PARTNERS III LLC,BANGALORE,Other information technology and computer service activities n.e.c,0.23,0.00,
396,QUICKO TECHNOSOFT LABS PRIVATE LIMITED,Mauritius,HELION VENTURE PARTNERS III LLC,BANGALORE,Other information technology and computer service activities n.e.c,44.76,0.70,
397,QUICKO TECHNOSOFT LABS PRIVATE LIMITED,Mauritius,THE INDIAN DREAM CAPITAL,BANGALORE,Other information technology and computer service activities n.e.c,3.91,0.06,
398,STS TRANSPORT,Mauritius,Gems Education (Asia) 2 Ltd.,NEW DELHI,Urban or suburban passenger bus transport (excluding chartered bus),7.50,0.12,
399,HARAPARVATI REALTORS PVT. LTD,Mauritius,Ridgewood Holding Ltd,KOLKATA,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",53.90,0.84,
400,HARAPARVATI REALTORS PVT. LTD,Mauritius,Ridgewood Holding Ltd,KOLKATA,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",49.00,0.77,
401,THE QUOPN COMPANY PVT LTD,Mauritius,SEQUOIA CAPITAL INVESTMENTS IV,MUMBAI,Advertising,0.00,0.00,
402,THE QUOPN COMPANY PVT LTD,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENTS IV,MUMBAI,Advertising,83.00,1.30,
403,HARAPARVATI REALTORS PVT. LTD,Mauritius,Ridgewood Holding Ltd.,KOLKATA,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",7.84,0.12,
404,HARAPARVATI REALTORS PVT. LTD,Mauritius,Ridgewood holding Ltd,KOLKATA,"Hotels and Motels, inns, resorts providing
short term lodging facilities includes accommodation in house",3.43,0.05,
405,HARAPARVATI REALTORS PVT. LTD,Mauritius,ridgewood Holding Ltd,KOLKATA,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",3.43,0.05,
406,HARAPARVATI REALTORS PVT. LTD,Mauritius,Ridgewood Holding Ltd,KOLKATA,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",176.79,2.77,
407,STERLING PORT LTD,Mauritius,NICHE INVESTMENTHOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,126.50,1.98,
408,STERLING PORT LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,15.75,0.25,
409,STERLING PORT LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,123.30,1.93,
410,STERLING PORT LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,26.00,0.41,
411,INI FARMS PVT LTD,Mauritius,ASPADA INVESTMENT COMPANY,MUMBAI,Wholesale of other basic/manufactured food stuffs n.e.c.,0.20,0.00,
412,INI FARMS PVT LTD,Mauritius,ASPADA INVESTMENT COMPANY,MUMBAI,Wholesale of other basic/manufactured food stuffs n.e.c.,99.80,1.56,
413,STERLING PORT LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,248.19,3.89,
414,STERLING PORT LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,306.80,4.80,
415,STERLING PORT LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,55.15,0.86,
416,STERLING PORT LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,54.42,0.85,
417,STERLING PORT LTD,Mauritius,NICHE INVESTMENT HOLDINGS PVT LTD,MUMBAI,Service activities incidental to water transportation,469.65,7.35,
418,WEALTH INDIA FINANCIAL SERVICES P LTD,Mauritius,Inventus Capital Partners (Mauritius) Li,CHENNAI,Security and commodity contracts brokerage,24.97,0.39,
419,BLISS INNS PRIVATE LIMITED,Mauritius,Seedfund2 International,NEW DELHI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes",5.00,0.08,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,accommodation in house,,,
420,CAPARO INDIA LIMITED,Mauritius,Blue Elephant Finance Limited,NEW DELHI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes
accommodation in house","1,295.81",20.29,
421,GEMS EDUCATION HOLDCO INDIA PRIVATE LIMI,Mauritius,M/A VARKEY INVESTMENT (ONE) LTD,NEW DELHI,Pre-primary education (education preceding the first level),1.00,0.02,
422,GEMS EDUCATION HOLDCO INDIA PRIVATE LIMI,Mauritius,VARKEY INVESTMENTS (ONE) LTD,NEW DELHI,Pre-primary education (education preceding the first level),59.46,0.93,
423,PACIFICA(CHENNAI PROJECT) INFRASTRUCTURE,Mauritius,PAC HOST,AHMEDABAD,Construction of buildings carried out on own- account basis or on a fee or contract basis,123.81,1.94,
424,ADANI ENTERPRISES LIMITED,Mauritius,ASIA ADVANTAGE FUND LTD,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,9.85,0.15,
425,PACIFICA (CHENNAI OLD MAHABALIPURAM ROAD,Mauritius,PAC VENTURES,AHMEDABAD,Construction of buildings carried out on own- account basis or on a fee or contract basis,142.53,2.23,
426,PACIFICA(CHENNAI PROJECT) INFRASTRUCTURE,Mauritius,PAC VENTURES,AHMEDABAD,Construction of buildings carried out on own- account basis or on a fee or contract basis,255.54,4.00,
427,PACIFICA (CHENNAI OLD MAHABALIPURAM ROAD,Mauritius,PAC VENTURES,AHMEDABAD,Construction of buildings carried out on own- account basis or on a fee or contract basis,0.54,0.01,
428,RITIKA PVT LTD,Mauritius,EVERSTONE CAPITAL PARTNERS II LLC,KOLKATA,Manufacture of all types of textile garments and clothing accessories,669.88,10.49,
429,SHRACHI VIRTUOUS RETAIL PROJECTS PVT. LT,Mauritius,Virtuous Retail Limited,KOLKATA,Construction of buildings carried out on own- account basis or on a fee or contract basis,310.32,4.86,
430,VOONIK TECHNOLOGIES PRIVATE LTD,Mauritius,Seedfund2 International,CHENNAI,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically",38.89,0.61,
431,DUET INDIA HOTELS (PUNE) PVT LTD,Mauritius,Starlight Mauritius ltd,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",0.90,0.01,
432,DUET INDIA HOTELS (PUNE) PVT LTD,Mauritius,Starlight mauritius Ltd,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",39.06,0.61,
433,DUET INDIA HOTELS (PUNE) PVT LTD,Mauritius,Starlight Hotels MTIUS (Pune),MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",2.81,0.04,
434,DUET INDIA HOTELS (PUNE) PVT LTD,Mauritius,Starlight Hotels MTIUS (Pune),MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes
accommodation in house",10.00,0.16,
435,DUET INDIA HOTELS (PUNE) PVT LTD,Mauritius,Starlight Hotels Mtius (Pune),MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",15.00,0.23,
436,DUET INDIA HOTELS (PUNE) PVT LTD,Mauritius,Starlight Hotels Mauritius (Pune) Ltd,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",16.51,0.26,
437,DUET INDIA HOTELS (PUNE) PVT LTD,Mauritius,Starlight Hotels Mauritius (Pune) Ltd,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",7.54,0.12,
438,DUET INDIA HOTELS (PUNE) PVT LTD,Mauritius,Starlight Hotels Maurtius (Pune) ltd,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",242.46,3.80,
439,LOHA ISPAAT LTD,Mauritius,PASSAGE TO INDIA MASTER FUND LTD,MUMBAI,Manufacture of other basic iron and steel n.e.c,92.65,1.45,
440,LOHA ISPAAT LTD,Mauritius,PACATOLUS OPPURTUNITY LTD,MUMBAI,Manufacture of other basic iron and steel n.e.c,41.57,0.65,
441,LOHA ISPAAT LTD,Mauritius,PACATOLUS OPPURTUNITY LTD,MUMBAI,Manufacture of other basic iron and steel n.e.c,94.93,1.49,
442,CHIRIPAL POLY FILMS LTD,Mauritius,Nova Dynamic,MUMBAI,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip",367.68,5.76,
443,SUZLON ENERGY LTD,Mauritius,RESONANCE OPPORTUNITIES FUND,AHMEDABAD,"Manufacture of other steam generators (except central heating hot water boilers), n.e.c.",60.22,0.94,
444,TRAVEL FOOD SERVICES PVT LTD,Mauritius,SOMERSET INDIA FUND,MUMBAI,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",111.31,1.74,
445,KIERAYA FURNISHING SOLUTIONS PVT LTD.,Mauritius,LIGHTBOX VENTURES II,BANGALORE,Renting of other personal and household goods n.e.c.,0.01,0.00,
446,KIERAYA FURNISHING SOLUTIONS PVT LTD.,Mauritius,LIGHTBOX VENTURES II,BANGALORE,Renting of other personal and household goods n.e.c.,379.37,5.94,
447,"WHITE LIGHT INTERNATIONAL PRIVATE
LIMITE",Mauritius,Bienvenue Investments LTD,NEW DELHI,Other information technology and computer service activities n.e.c,15.00,0.23,
448,DESHPAL REALTORS,Mauritius,Distribution And Logistics Infrastructur,NEW DELHI,Passenger rail transport,474.04,7.42,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PRIVATE LIMI8TED,,,,,,,
449,KULZY MEDIA PRIVATE LIMITED,Mauritius,Seedfund2 International,NEW DELHI,Other information service activities n.e.c.,0.02,0.00,
450,REGUS MAGNUM BUSINESS CENTRES PRIVATE LI,Mauritius,"REGUS INTERNATIONAL HOLDINGS LTD, REGUS",NEW DELHI,Other business support service activities n.e.c.,0.10,0.00,
451,KULZY MEDIA PRIVATE LIMITED,Mauritius,Seedfund2 International,NEW DELHI,Other information service activities n.e.c.,9.71,0.15,
452,ORAVEL STAYS PRIVATE LIMITED,Mauritius,Lightspeed Venture Partners IX Mauritius,NEW DELHI,Activities of travel agents and tour operators,257.83,4.04,
453,ORAVEL STAYS PRIVATE LIMITED,Mauritius,Lightspeed Venture Partners IX Mauritius,NEW DELHI,Activities of travel agents and tour operators,52.84,0.83,
454,ORAVEL STAYS PRIVATE LIMITED,Mauritius,DSG Consumer Partners,NEW DELHI,Activities of travel agents and tour operators,12.94,0.20,
455,ORAVEL STAYS PRIVATE LIMITED,Mauritius,DSG Consumers Partners,NEW DELHI,Activities of travel agents and tour operators,19.62,0.31,
456,ORAVEL STAYS PRIVATE LIMITED,Mauritius,Sequoia Capital India Investments IV,NEW DELHI,Activities of travel agents and tour operators,5.48,0.09,
457,ORAVEL STAYS PRIVATE LIMITED,Mauritius,Sequoia Capital India Investments IV,NEW DELHI,Activities of travel agents and tour operators,224.72,3.52,
458,INNOVATIVE HEALING SYSTEMS (GUJARAT) PVT,Mauritius,INNOVATIVE HEALING SYSTEMS,AHMEDABAD,Other human health activities n.e.c. (including independent ambulance activities),2.55,0.04,
459,CANCER TREATMENT SERVICES HYDERABAD P V,Mauritius,CTSI ( Mauritius ) Ltd,HYDERABAD,Hospital activities,3.13,0.05,
460,UTKARSH MICRO FINANCE PVT LTD,Mauritius,AAvishkaar Goodwell India Microfinance D,KANPUR,Other credit granting,91.58,1.43,
461,AZEAGAIA DEVELOPMENT PVT.LTD.,Mauritius,Azea Property Investment Ltd. C/o Maurit,KANPUR,Construction of buildings carried out on own- account basis or on a fee or contract basis,500.00,7.83,
