Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
36,N-VIRO FERTILIZER INDIA PRIVATE LIMITED,Canada,N-VIRO SYSTEMS CANADA LP,AHMEDABAD,Manufacture of urea and other organic fertilizers,4.94,0.08,
37,N-VIRO FERTILIZER INDIA PRIVATE LIMITED,Canada,N-VIRO SYSTEMS CANADA LP,AHMEDABAD,Manufacture of urea and other organic fertilizers,1.50,0.02,
38,ADANI ENTERPRISES LIMITED,Canada,AIC ADVANTAGE II CORPORATE CLASS,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,3.94,0.06,
39,ADANI ENTERPRISES LIMITED,Canada,AIC ADVANTAGE FUND,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,118.20,1.85,
40,ADANI ENTERPRISES LIMITED,Canada,AIC ADVANTAGE FUND II,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,74.86,1.17,
41,BSA INDIA FOOD INGREDIENTS P LTD,Canada,INVESTISSEMENTS BSA INC,NEW DELHI,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products",4.02,0.06,
42,OPTESSA SOLUTIONS PVT LTD,Canada,OPTESSA INC,MUMBAI,Computer consultancy and computer facilities management activities,2.82,0.04,
43,VEOL MEDICAL TECHNOLOGIES PVT LTD,Canada,Connimed Concepts Ltd,MUMBAI,Manufacture of other medical and dental instruments n.e.c.,1.09,0.02,
44,FACES COSMETICS INDIA PVT LTD,Canada,FACES COSMETICS,MUMBAI,"Manufacture of cosmetics and toileteries (includes manufacture of preshave, shaving or after shave preparations;",9.43,0.15,
45,FACES COSMETICS INDIA PVT LTD,Canada,FACES COSMETICS INC,MUMBAI,"Manufacture of cosmetics and toileteries (includes manufacture of preshave, shaving or after shave preparations;",12.84,0.20,
46,SDP TELECOM INDIA PVT. LTD,Canada,SDP Telecom Inc.,CHENNAI,Manufacture of other communication equipments n.e.c.,0.10,0.00,
47,SDP TELECOM INDIA PVT. LTD,Canada,SDP telecom Inc,CHENNAI,Manufacture of other communication equipments n.e.c.,16.81,0.26,
48,SDP TELECOM INDIA PVT. LTD,Canada,SDP Telecom Inc.,CHENNAI,Manufacture of other communication equipments n.e.c.,16.35,0.26,
49,SDP TELECOM INDIA PVT. LTD,Canada,SDP Telecom Inc.,CHENNAI,Manufacture of other communication equipments n.e.c.,42.66,0.67,
50,SDP TELECOM INDIA PVT. LTD,Canada,SDP Telecom Inc.,CHENNAI,Manufacture of other communication equipments n.e.c.,11.07,0.17,
