Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING MAY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
35,AF HOLDINGS PVT. LTD.,UAE,NANDKISHOR SUGNOMAL ADNANI,AHMEDABAD,"Manufacture of leather footwear such as shoes, sandals, chappals, leathercum rubber/plastic cloth sandles",7.30,0.11,
36,ICICI BANK LTD.,United Kingdom,MR SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",25.18,0.39,
37,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",29.01,0.45,
38,ICICI BANK LTD.,United Kingdom,MS. ARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.32,0.01,
39,ICICI BANK LTD.,United Kingdom,MR SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",5.49,0.09,
40,ICICI BANK LTD.,United Kingdom,MR.GAGAN ARORA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.31,0.00,
41,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",7.00,0.11,
42,BERNS BRETT INDIA INSURANCE BROKING PRIV,United Kingdom,BERNS BRETT LTD,NEW DELHI,Activities of insurance agents and brokers,3.56,0.06,
43,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Other business support service activities n.e.c.,1.50,0.02,
44,RANBAXY LABORATORIES LTD.,Myanmar,JAYANT GHOSH,NEW DELHI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
45,RANBAXY LABORATORIES LTD.,Myanmar,ZIN MAR SOE,NEW DELHI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
46,RANBAXY LABORATORIES LTD.,Myanmar,NAN SANDAR WIN,NEW DELHI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
47,RANBAXY LABORATORIES LTD.,Myanmar,MAR LAR KHIN,NEW DELHI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
48,RANBAXY LABORATORIES LTD.,Myanmar,MAR LAR KHIN,NEW DELHI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
49,RANBAXY LABORATORIES LTD.,Myanmar,JAYANT GHOSH,NEW DELHI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
Grand Total,,,,,,"32,064.09",502.57,
