Table No.18 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING MARCH, 2015",,,,,,,,
27,GENOVO DEVELOPMENT SERVICES LTD,Spain,TEDEC MEIJI FARMA SA,REGION NOT INDICATED,"RESEARCH AND DEVELOPMENT OF DRUG FORMULATIONS, DOSSIER COMPILATION ...",0.00,0.00,
28,BILL FORGE PVT LTD,Mauritius,AINOS HOLDINGS LTD,REGION NOT INDICATED,MANUFACTUR,87.13,1.40,
29,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,9.55,0.15,
30,ADCOCK INGRAM LTD,Netherlands,MEIJI SEIKA EUROPE BV,REGION NOT,MANUFACTUR,0.00,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,INDICATED,,,,
31,VALTITUDE TECHNOLOGIES INDIA PVT LTD,U.S.A,DEMAND PLANNING LLC,REGION NOT INDICATED,BUSINESS A,0.04,0.00,
32,CORE WELLNESS LTD,UAE,SOHUM WELLNESS DWC LLC,REGION NOT INDICATED,WELLNESS A,10.10,0.16,
33,BILL FORGE PVT LTD,Mauritius,AINOS HOLDINGS LTD,"REGION NOT
INDICATED",MANUFACTUR,217.64,3.49,
34,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,6.16,0.10,
35,BILL FORGE PVT LTD,Mauritius,AINOS HOLDINGS LTD,REGION NOT INDICATED,MANUFACTUR,114.51,1.83,
36,STAR GLOBAL MULTI VENTURES PVT LTD,UAE,AL ASRA TRADING LTD,REGION NOT INDICATED,WHOLESALE,4.27,0.07,
37,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,1.22,0.02,
38,MEDREICH LTD,South Korea,MEIJI PHARMA KOREA CO LTD,REGION NOT INDICATED,PHARMA FOR,0.00,0.00,
39,BILL FORGE PVT LTD,Mauritius,AINOS HOLDINGS LTD,REGION NOT INDICATED,MANUFACTUR,303.46,4.86,
40,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,7.74,0.12,
