Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING JANUARY 2018 TO MARCH, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,ARTEFACTS SYSTEMS (INDIA) PVT LTD,U.S.A,ARTEFACTS SOLUTIONS INC,REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",0.34,0.01,
2,Melody Technologies Private Limited,U.S.A,FPK Services LLC USA,REGION NOT INDICATED,Other information technology and computer service activities n.e.c.,0.23,0.00,
3,Esteem Industries Private Limited,U.S.A,"Harcros India Llc, Usa","REGION NOT
INDICATED",Manufacture of organic and inorganic chemical compounds n.e.c.,60.61,0.93,
4,Exeter Premedia Services Pvt Ltd,United Kingdom,"Cumeragh Ltd, Uk",REGION NOT INDICATED,Other publishing activities (including on-line) n.e.c.,9.53,0.15,
5,SCHUTZ INDIA PVT LTD,Germany,SCHUETZ GMBH AND CO KGAA - GERMANY,REGION NOT INDICATED,Other non-specialised wholesale trade n.e.c.,0.00,0.00,
6,Hnv Castings Private Limited,Japan,"Hitachi Metals Limited, Japan",REGION NOT INDICATED,Manufacture of other iron and steel casting and products thereof,31.31,0.48,
7,Neev Knowledge Managment Pvt Ltd,Netherlands,Global Education International B.V. Neth,REGION NOT INDICATED,Other educational services n.e.c.,46.86,0.72,
8,Amelio Early Education Private Limited,France,Babilou SAS (FRANCE),"REGION NOT
INDICATED",Other social work activities without accommodation n.e.c.,8.99,0.14,
9,Globant India Private Limited,Spain,Globant S.A.U (SPAIN),REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",85.36,1.31,
10,SPECTRO ANALYTICAL LABS PRIVATE LIMITED,Luxembourg,"EUROFINS ENVIRONMENT TESTING LUX
HOLDING",REGION NOT INDICATED,Technical testing and analysis,0.70,0.01,
11,Rxpe Projects Private Limited,United Kingdom,Rongxin Power Limited,REGION NOT INDICATED,"Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors, junction boxes etc.) for a voltage exceeding 1000 volts;",0.05,0.00,
12,Citrus Platform Solutions Private Ltd,Singapore,Citrs Communication PTE Ltd,REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",1.25,0.02,
13,Max Dairy products pvt. Ltd,Japan,Ikaruga Milk Products Co. Ltd,REGION NOT INDICATED,Production of milk from cows or buffaloes,0.31,0.00,
14,CREDITACCESS GRAMEEN LIMITED,Netherlands,"CREDITACCESS ASIA N V , NETHERLANDS","REGION NOT
INDICATED","Other financial service activities, except insurance and pension funding activities,
n.e.c.",0.20,0.00,
15,Hain Future Natural Products Private Lim,United Kingdom,Histon Sweet Spreads Limited GB,"REGION NOT
INDICATED",Manufacture of malted foods including foods for infants and handicapped,0.05,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
16,CREDITACCESS GRAMEEN LIMITED,Netherlands,"CREDITACCESS ASIA N V , NETHERLANDS","REGION NOT
INDICATED","Other financial service activities, except insurance and pension funding activities,
n.e.c.",0.47,0.01,
17,AL JADEED EXCHANGE PRIVATE LIMITED,Oman,JADID BAKHIT JADID JADAD,REGION NOT INDICATED,Activities auxiliary to financial service activities n.e.c.,0.50,0.01,
18,SAMVARDHANA MOTHERSON INTERNATIONAL LTD,Serbia,MASA SOLDATOVIC - SERBIA,REGION NOT INDICATED,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs, ignition wiring harnesses, power window and door systems, assembly of purchased gauges into instrument panels,
voltage regulators, etc.",0.04,0.00,
19,Southern Health Foods Private Limited,Netherlands,"Nhpea Summer Holding B.V, Amsterdam,Neth",REGION NOT INDICATED,Manufacture of cereal breakfast foods obtained by roasting or swelling cereal grains,199.99,3.08,
20,CREDITACCESS GRAMEEN LIMITED,Netherlands,"CREDITACCESS ASIA N V , NETHERLANDS","REGION NOT
INDICATED","Other financial service activities, except insurance and pension funding activities,
n.e.c.",0.47,0.01,
21,Globant India Private Limited,Spain,Globant S.A.U (SPAIN),REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",18.82,0.29,
22,Talec Engineers Private Limited,Singapore,"Yara Asia Pte Ltd, Singapore","REGION
NOT INDICATED",Architectural and engineering activities and related technical consultancy,10.00,0.15,
23,"SPARROW SYSTEMS PRIVATE LIMITED,C/O AKSH",U.S.A,"Pepo Inc, USA",REGION NOT INDICATED,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",5.07,0.08,
24,ADANI POWER LTD,UAE,"EMERGING MARKET
INVESTMENT DMCC - UNITED","REGION
NOT INDICATED",Electric power generation by coal based thermal power plants,75.68,1.16,
25,ADANI POWER LTD,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Electric power generation by coal based thermal power plants,175.00,2.69,
26,ADANI POWER LTD,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Electric power generation by coal based thermal power plants,188.35,2.90,
27,Clearview Healthcare Pvt Ltd,Italy,Medipass SRL,"REGION NOT
INDICATED",Other human health activities n.e.c. (including independent ambulance activities),14.15,0.22,
28,Integrated Clean Room Technologies Priva,Japan,Takasago Thermal Engineering Co Ltd / Ja,REGION NOT INDICATED,Manufacture of other fabricated metal products n.e.c.,88.93,1.40,
29,"IMPRESARIO
ENTERTAINMENT AND HOSPITALITY",Singapore,"SENSATIONAL EATERY PTE LTD, SINGAPORE","REGION
NOT INDICATED",Bars and Restaurants with bars,2.96,0.05,
30,METROPOLITAN STOCK EXCHANGE OF INDIA LIM,United Kingdom,"JITENDRA SHAH , UNITED KINGDOM",REGION NOT INDICATED,Administration of financial markets,3.70,0.06,
31,RIVIGO SERVICES PRIVATE LIMITED,Mauritius,"SAIF Partners India V Limited ,MAURITIUS","REGION NOT
INDICATED",Motorised road freight transport,0.51,0.01,
32,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,591.29,9.29,
33,Kokuyo Camlin Limited,Japan,"Kokuyo Co., Ltd.,",REGION,Manufacture of stationary articles such as,18.43,0.29,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,Japan,NOT INDICATED,"pens and pencils of all kinds whether or not mechanical, pencil leads, date, sealing or numbering stamps, hand-operated devices for printing or embossing labels, hand
printing sets, prepared typewriter ribb",,,
34,LEBARA Foundation,United Kingdom,"LEBARA Foundation, UK",REGION NOT INDICATED,Other social work activities without accommodation n.e.c.,0.03,0.00,
35,Ess Kay Fincorp Ltd G 1-2 New Market Kha,Mauritius,"Norwest Venture Partners X - Mauritius
I","REGION NOT
INDICATED",Other credit granting,24.42,0.38,
36,"ZEN LEFIN PRIVATE LIMITED New No. 3, (ol",Mauritius,"SEQUOIA CAPITAL INDIA INVESTMENTS IV, FI",REGION NOT INDICATED,"Other financial service activities, except insurance and pension funding activities, n.e.c.",29.58,0.46,
