Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JANUARY 2018 TO MARCH, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,ADVENT BUSINESS CREDIT DEVLOPMENT COMPAN,Germany,UNI-CASH VERWALTUNGSGESELLSCHAFT MBH,MUMBAI,Other business support service activities n.e.c.,9.94,0.15,
2,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDA GESELLSCHAFT MIT BESCHRAENKTER HAF,NEW DELHI,Publishing of journals and periodicals,18.90,0.29,
3,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDAGESELLSCHAFTMITBESCH RAENKTERHAFTUNG,NEW DELHI,Publishing of journals and periodicals,61.02,0.95,
4,ROTHENBERGER INDIA PVT LTD,Germany,ROTHENBERGER WERKZEUGE GMBH,NEW DELHI,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers,",0.00,0.00,
5,ROTHENBERGER INDIA PVT LTD,Germany,ROTHENBERGER AG,NEW DELHI,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools
such as hammers,",14.06,0.22,
6,ROTHENBERGER INDIA PVT LTD,Germany,ROTHENBERGER AG,NEW DELHI,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers,",0.10,0.00,
7,ROBERT BOSCH AUTOMOTIVE STEERING PVT LTD,Germany,ROBERT BOSCH AUTOMOTIVE STEERING GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes,
gearboxes, axles, road",59.20,0.91,
8,ICICI BANK LTD.,HongKong,BHYJU KANAMKANDY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.50,0.01,
9,RELIANCE PAUL & SHARK FASHIONS PVT LTD,Italy,DAMA S.P.A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing
accessories",9.00,0.14,
10,KIKO COSMETICS RETAIL PRIVATE LIMITED,Italy,Kiko International SRL,NEW DELHI,Retail sale of perfumery and cosmetic articles,19.99,0.31,
