Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JANUARY 2018 TO MARCH, 2018",,,,,,,,
11,AXIS BANK LIMITED,Luxembour g,Capital Group New World Fund (LUX),AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses",59.54,0.92,
12,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Luxembour g,GLOBAL ENERGY EFFICIENCY AND RENEWABLE F,NEW DELHI,Activities of holding companies,71.73,1.13,
13,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Malaysia,VISWANATHAN SETHURAMAN,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.00,0.00,
14,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS(MAURITIUS) LTD,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",119.02,1.83,
15,CHUMBAK DESIGN PRIVATE LIMITED,Mauritius,MATRIX PARTNERS INDIA INVESTMENTS II EXT,BANGALORE,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing
accessories",26.04,0.40,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
16,IVISION MEDIA INDIA PVT. LTD.,Mauritius,SAIF III Mauritius Company Limited,HYDERABAD,TELEVISION PROGRAMMING AND BROADCASTING,503.76,7.75,
17,AKORN INDIA PVT LTD,Mauritius,worldakorn pharma mauritius,NEW DELHI,Manufacture of allopathic pharmaceutical preparations,382.80,5.89,
18,AXIS BANK LIMITED,Mauritius,BC Asia Investments VII Limited,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses","29,190.00",453.45,
19,AXIS BANK LIMITED,Mauritius,Integral Investments South Asia IV,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses","16,747.50",260.16,
20,AXIS BANK LIMITED,Mauritius,BC Asia Investments III Limited,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses","22,600.00",351.07,
21,BIOGENOMICS LIMITED,Mauritius,MB Holding Mauritius Limited,CHENNAI,"Research and experimental development on natural
sciences and engineering",30.05,0.47,
22,HINDUJA ENERGY INDIA LTD,Mauritius,HINDUJA POWER LTD,MUMBAI,Electric power generation by coal based thermal power plants,"1,024.16",15.91,
23,HINDUJA ENERGY INDIA LTD,Mauritius,HINDUJA ENERGY LTD,MUMBAI,"Electric power generation by
coal based thermal power plants","1,024.00",15.91,
24,AKORN INDIA PVT LTD,Mauritius,WORLDAKORN PHARMA MAURITIUS,NEW DELHI,Manufacture of allopathic pharmaceutical preparations,512.00,7.95,
25,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LTD,NEW DELHI,"Construction and maintenance of motorways, streets, roads,
other vehicular",13.55,0.21,
26,CHUMBAK DESIGN PRIVATE LIMITED,Mauritius,MATRIX PARTNERS INDIA INVESTMENT HOLDING,BANGALORE,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",60.75,0.93,
27,CHUMBAK DESIGN PRIVATE LIMITED,Mauritius,MATRIX PARTNERS INDIA INVESTMENTS II EXT,BANGALORE,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",3.21,0.05,
28,BIOGENOMICS LIMITED,Oman,Rajmal Parakh,CHENNAI,Research and experimental development on natural sciences and engineering,5.97,0.09,
29,BIOGENOMICS LIMITED,Oman,Sulaiman Mohamed Hamed AL Harthy,CHENNAI,Research and experimental development on natural sciences and engineering,2.98,0.05,
30,LOCCITANE INDIA PVT LTD,Singapore,LOCCITANE SINGAPORE PTE LTD,NEW DELHI,Retail sale of perfumery and cosmetic articles,33.15,0.51,
31,VERO MODA RETAIL PVT LTD,Singapore,BESTSELLER UNITED SINGAPORE PTE LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",173.49,2.70,
32,M/S GLAND CELSUS BIO CHEMICALS PVT LTD,Singapore,KKR Floorline Investments Pte. Ltd.,HYDERABAD,"Manufacture of chemical products or preparations of a kind used in the textiles, paper,
leather and like","1,394.88",21.45,
33,CENTRAL INVESTIGATION,Singapore,OCS Group SIngapore Pte Ltd,MUMBAI,Private security activities,2.60,0.04,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,AND SECURITY SERVI,,,,,,,
34,CENTRAL INVESTIGATION AND SECURITY SERVI,Singapore,OCS Group Singapore Pte Ltd,MUMBAI,Private security activities,2.86,0.04,
35,TATA SIA AIRLINE LIMITED,Singapore,SINGAPORE AIRLINES LTD,NEW DELHI,Passenger airways,980.00,15.07,
36,CLARIS INJECTIBLES LIMITED,Singapore,BAXTER PHARMACEUTICAL (ASIA) PTE. LTD.,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,"5,229.50",82.18,
37,ICICI BANK LTD.,Singapore,HARPREET GULIANI,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.84,0.01,
38,ICICI BANK LTD.,Singapore,HARPREET GULIANI,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses",1.11,0.02,
39,ICICI BANK LTD.,Singapore,HARPREET GULIANI,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.41,0.02,
40,A.MENARINI INDIA PRIVATE LIMITED,Singapore,A Menarini Asia Pacific Pte Ltd,AHMEDABAD,"Retail sale of pharmaceuticals, medical and orthopaedic goods
and toilet articles",400.00,6.29,
41,ONLY RETAIL PVT LTD,Singapore,BESTSELLER UNITED SINGAPORE PTE LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",112.26,1.76,
42,SWATCH GROUP (INDIA) RETAIL PRIVATE LIMI,Switzerland,TECHNOCORP HOLDING S.A,NEW DELHI,Retail sale of watches and clocks,70.00,1.08,
43,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.46,0.01,
44,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.46,0.01,
45,ICICI BANK LTD.,UAE,VIKAS SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",3.30,0.05,
46,ICICI BANK LTD.,UAE,VIKASH SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",4.24,0.07,
47,"CLARKS FUTURE
FOOTWEAR PRIVATE LIMITED",United Kingdom,C & J CLARK INTERNATIONAL LTD,NEW DELHI,Retail sale of footwear,200.00,3.11,
48,ICICI BANK LTD.,United Kingdom,KIRAN TALWAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.50,0.02,
49,ICICI BANK LTD.,United Kingdom,AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses",0.33,0.01,
50,ICICI BANK LTD.,United,KIRAN TALWAR,AHMEDABAD,Monetary intermediation of,1.65,0.03,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,Kingdom,,,"commercial banks, saving banks. postal savings bank and discount houses",,,
51,BERNS BRETT INDIA INSURANCE BROKING PRIV,United Kingdom,BERNS BRETT LTD,NEW DELHI,Activities of insurance agents and brokers,3.82,0.06,
52,SUN PHARMACEUTICAL INDUSTRIES LIMITED,United Kingdom,ABHIJIT SAHA,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.00,0.00,
53,"MERLIN ENTERTAINMENTS INDIA
PRIVATE LIMI",United Kingdom,MERLIN ATTRACTIONS OPERATIONS LTD,NEW DELHI,Activities of amusement parks and theme parks,10.00,0.16,
54,LEVI STRAUSS (INDIA) PRIVATE LIMITED,U.S.A,LEVI STRAUSS & CO,BANGALORE,Other retail sale in non- specialized stores,3.85,0.06,
55,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Technical testing and analysis,2.00,0.03,
56,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Technical testing and analysis,3.00,0.05,
57,AXIS BANK LIMITED,U.S.A,American Funds Insurance Series Internat,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses","1,393.29",21.64,
58,AXIS BANK LIMITED,U.S.A,"New World Fund, Inc",AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses","1,574.09",24.45,
59,LIFE POSITIVE PVT. LTD.,U.S.A,ADITYA SINGH AHLUWALIA,NEW DELHI,Publishing of journals and periodicals,1.88,0.03,
60,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Technical testing and analysis,2.00,0.03,
61,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Technical testing and analysis,2.00,0.03,
Grand Total,,,,,,"84,179.74","1,308.16",
