"Table No. 19 (c)
STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
30,"AARON'S E-COMMERCE WALA
PRIVATE LIMITED",TELANGANA,Hyderabad,"Management consultancy
activities",AARON W HUGHES,U.S.A,0.10,0.00,"Received in
the Company",
31,"AARUSH MANUFACTURING
SOLUTIONS PRIVATE LIMITED",TAMILNADU,Vellore,"Manufacture of other
electrical equipment",EASTERN MOUNTAIN LLC,U.S.A,22.44,0.30,"Received in
the Company",
32,"AARUSH MANUFACTURING
SOLUTIONS PRIVATE LIMITED",TAMIL NADU,Vellore,"Manufacture of other
electrical equipment",EASTERN MOUNTAIN LLC,U.S.A,36.64,0.49,"Received in
the Company",
33,AASTHAG FINE GOODS TRADING PRIVATE LIMITED,MAHARASHTRA,Thane,"Wholesale of other basic/manufactured food
stuffs n.e.c.",DEBORA GUGLIELMO,Switzerland,0.22,0.00,Received in the Company,
34,AATMA CAPITAL PRIVATE LIMITED,TAMILNADU,Chennai,"Other financial service activities, except insurance and pension funding
activities, n.e.c.",Nasser Ahmed,UAE,4.75,0.06,Received in the Company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
35,ABB Global Industries and Services Private Limited,KARNATAKA,Bengaluru,"Other information
technology and computer service activities n.e.c",ABB Asea Brown Boveri Ltd,Switzerland,2300.00,30.80,Received in the Company,
36,"ABNO SOFTWARES
INTERNATIONAL PRIVATE LIMITED",RAJASTHAN,Jaipur,"Providing software support
and maintenance to the clients",ABNO Softwares International Ltd,Kenya,0.10,0.00,Received in the company,
37,ABSOLUTE AROMAS INDIA PRIVATE LIMITED,DELHI,CENTRAL DELHI,"MANUFACTURE OF ESSENTIAL OILS; MODIFICATION BY CHEMICAL PROCESSES OF OILS AND FATS (E.G. BY OXIDATION,
POLYMERIZATION ETC.)",ABSOLUTE AROMAS LIMITED,United Kingdom,0.51,0.01,Greenfiled,
38,"ACAIPL CORPORATE
ADVISORS (INDIA) PRIVATE LIMITED",MAHARASHTRA,Mumbai,Management consultancy activities,Fontus Investments Limited,Mauritius,249.99,3.40,Received in the company,
39,ACAP SOLUTIONS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Other information
technology and computer service activities n.e.c",GRAHAM MARK BURCHELL,United Kingdom,0.20,0.00,Received in the Company,
40,ACAP SOLUTIONS INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer
service activities n.e.c",MATTHEW CHARLES GOOD,United Kingdom,0.20,0.00,Received in the Company,
41,"ACCELERATE PRODUCTX
VENTURES PRIVATE LIMITED",DELHI,South Delhi,"Other non-specialised
wholesale trade n.e.c.",Haresh Mahasukhlal Mehta,U.S.A,2.15,0.03,"Received in
the company",
42,"ACCELERATE PRODUCTX
VENTURES PRIVATE LIMITED",DELHI,South Delhi,"Other non-specialised
wholesale trade n.e.c.",Mahavir Investment LLC,U.S.A,1.38,0.02,"Received in
the company",
43,"Accloud Technology Private
Limited",Karnataka,Bengaluru,"Other information service
activities n.e.c.",Accloud Aust. Pty Ltd,Australia,0.00,0.00,"Received in
the company",
44,"Accloud Technology Private
Limited",Karnataka,Bengaluru,"Other information service
activities n.e.c.",Accloud PLC,"United
Kingdom",2.50,0.03,"Received in
the company",
45,ACE ENGINEERING SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of other general purpose machinery
n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory
or industrial use;",GUNASHEEL RAMANNA UDUPI,UAE,2.97,0.04,Received in the Company,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
,,,,"calendering or other rolling
machines othe",,,,,,
46,ACETAMIDE PRIVATE LIMITED,DELHI,North West Delhi,"Manufacture of other general purpose machinery
n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling
machines othe",Gabova Evgeniya Sergeevna,Russia,0.00,0.00,Greenfield,
47,ACETAMIDE PRIVATE LIMITED,DELHI,North West Delhi,"Manufacture of other general purpose machinery
n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling
machines othe",Too Magikrot,Kazakhstan,0.10,0.00,Greenfield,
48,ACETAMIDE PRIVATE LIMITED,DELHI,North West Delhi,"Manufacture of other general purpose machinery
n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling
machines othe",Gabova Evgeniya Sergeevna,Russia,0.00,0.00,Greenfield,
49,ACO SOURCING PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of other
special-purpose machinery n.e.c.",SEVERIN AHLMANN HOLDING GMBH,Germany,4.18,0.06,Received in the Company,
50,Acreage Builders Private Limited,HARYANA,Gurgaon,"Construction of buildings carried out on own-account basis or on a fee or contract
basis",TS MAURITIUS 1,Mauritius,65.12,0.89,Received in the company,
51,"ACROTREND SOLUTIONS
PRIVATE LIMITED",MAHARASHTRA,Nagpur,"Other information
technology and computer",Acrotrend Solutions Limited,"United
Kingdom",6.18,0.08,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
,,,,service activities n.e.c,,,,,,
52,ACS GLOBAL TECH SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Providing software support
and maintenance to the clients",American Cybersystems Inc.,U.S.A,219.75,2.93,Received in the Company,
53,ACTLOGICA SOLUTIONS PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,"Providing software support and maintenance to the
clients",GLADSAYS PTY LTD,Australia,5.00,0.07,Received in the Company,
54,ACTO ACTIVE CHEMICAL INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale of
pharmaceutical and medical goods",AHMET KILIC,Germany,0.25,0.00,Received in the Company,
55,Actoserba Active Wholesale Private Limited,KARNATAKA,Bengaluru,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces
etc.",Indiblu Investment Advisors (Mauritius) Limited,Mauritius,25.00,0.33,Received in the Company,
56,Actoserba Active Wholesale Private Limited,KARNATAKA,Bengaluru,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces
etc.",Indiblu Investment Advisors (Mauritius) Limited,Mauritius,75.00,1.00,Received in the Company,
57,Actoserba Active Wholesale Private Limited,KARNATAKA,Bengaluru,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces
etc.",Indiblu Investment Advisors (Mauritius) Limited,Mauritius,28.47,0.38,Received in the Company,
58,Acuity Strategic Financials Private Limited,MAHARASHTRA,Mumbai,Management consultancy activities,Marshal Global Renewable Power Private Limited,Singapore,7.54,0.10,Received in the Company,
59,Acutronic India Private Limited,TELANGANA,Hyderabad,"Repair and maintenance of measuring, testing, navigating and control
equipment of group 265",Acutronic Holding AG,Switzerland,10.72,0.14,Received in the Company,
60,"Adani-Elbit Advanced Systems
India Limited",TELANGANA,K.V.Rangareddy,Defence activities,Elbit Systems Limited,Israel,38.96,0.53,Greenfield,
61,ADAPTIVE IT SOLUTIONS INDIA,HARYANA,Gurgaon,Other information,Adam John Doblo,U.S.A,0.00,0.00,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
,PRIVATE LIMITED,,,"technology and computer
service activities n.e.c",,,,,the Company,
62,ADDISTRO TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale trade via e- commerce excluding activities of commission
agents",Khushal Chand Thakur,United Kingdom,0.99,0.01,Received in the Company,
63,ADDISTRO TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale trade via e- commerce excluding activities of commission
agents",Sweta Rau,Singapore,0.99,0.01,Received in the Company,
64,ADDISTRO TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale trade via e- commerce excluding activities of commission
agents",Joshua Kurian,UAE,0.99,0.01,Received in the Company,
65,ADDISTRO TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale trade via e- commerce excluding activities of commission
agents",Shubhum Gupta,Singapore,0.29,0.00,Received in the Company,
66,ADDISTRO TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale trade via e- commerce excluding activities of commission
agents",Vikram Kumar,Myanmar,2.01,0.03,Received in the Company,
67,ADDISTRO TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale trade via e- commerce excluding activities of commission
agents",BEENEXT2 PTE LTD.,Singapore,0.21,0.00,Received in the Company,
68,ADDISTRO TECHNOLOGIES PRIVATE LIMITED,HARYANA,Gurgaon,"Wholesale trade via e- commerce excluding activities of commission
agents",BEENEXT2 PTE LTD.,Singapore,37.41,0.50,Received in the Company,
69,Aditya Birla Health Insurance Co. Limited,MAHARASHTRA,Mumbai,Non-life insurance,Momentum Metropolitan Strategic Investments Pty Ltd,South Africa,891.80,11.94,Received in the Company,
70,Aditya Birla Power Composites Limited,GUJARAT,Halol,"Manufacture of electrical
insulators and insulating fittings of ceramics",Maschinenfabrik Reinhausen Gmbh,Germany,31.84,0.43,Greenfield,
71,"Adnaks Marketing Solutions
Private Limited",KARNATAKA,Bengaluru,Advertising,Amnyk Group Inc.,"British
Virginia",1.50,0.02,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
72,ADPI INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Architectural and engineering activities and related technical
consultancy",ADP Ingenierie SA,France,0.99,0.01,Received in the company,
73,ADROIT RAILSYSTEMS PRIVATE LIMITED,MADHYA PRADESH,Indore,"Manufacture of specialized parts of railway or tramway locomotives or of rolling stock (bogies, axles and wheels, brakes and parts of brakes; hooks and coupling devices, buffers and buffer
parts; shoc",Vishal Pandey,U.S.A,2.50,0.03,Received in the Company,
74,Advanced Sterilization Products India Private Limited,MAHARASHTRA,Mumbai,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",ASP NEDERLAND B. V.,Netherland,265.00,3.61,Received in the company,
75,ADVERGAME TECHNOLOGIES PRIVATE LIMITED,DELHI,Central Delhi,Publishing of computer games for all platforms,BELLERIVE CAPITAL (BCP) 6 LIMITED,British Virginia,38.00,0.51,Received in the Company,
76,ADVERGAME TECHNOLOGIES PRIVATE LIMITED,DELHI,Central Delhi,Publishing of computer games for all platforms,"FJ LABS ENTREPRENEURS
FUND 2020, A SERIES OF FJ LABS FUNDS, LP",U.S.A,1.88,0.03,Received in the Company,
77,"ADVERGAME TECHNOLOGIES
PRIVATE LIMITED",DELHI,Central Delhi,"Publishing of computer
games for all platforms","AECAL ASIAN E-COMMERCE
ALLIANCE GMBH",Germany,1.88,0.03,"Received in
the Company",
78,"ADVERGAME TECHNOLOGIES
PRIVATE LIMITED",DELHI,Central Delhi,"Publishing of computer
games for all platforms","F AND J LABS CO-INVEST III, L.P.",U.S.A,19.02,0.25,"Received in
the Company",
79,"ADVERGAME TECHNOLOGIES
PRIVATE LIMITED",DELHI,Central Delhi,"Publishing of computer
games for all platforms","FJ LABS, LLC",U.S.A,1.88,0.03,"Received in
the Company",
80,ADVERGAME TECHNOLOGIES PRIVATE LIMITED,DELHI,Central Delhi,Publishing of computer games for all platforms,"BITKRAFT ZOP, LTD",Cayman Islands,185.49,2.48,Received in the Company,
81,"ADVERGAME TECHNOLOGIES
PRIVATE LIMITED",DELHI,Central Delhi,"Publishing of computer
games for all platforms","BITKRAFT ZOP, LTD","Cayman
Islands",4.49,0.06,"Received in
the Company",
82,ADVERGAME TECHNOLOGIES,DELHI,Central Delhi,Publishing of computer,F AND J LABS/TELENOR CO-,U.S.A,6.82,0.09,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
,PRIVATE LIMITED,,,games for all platforms,INVEST III L.P.,,,,the Company,
83,"AEQUS FORCE CONSUMER
PRODUCTS PRIVATE LIMITED",KARNATAKA,Belagavi,"Manufacture of other
games and toys n.e.c.","AIGF Investments II Private
Limited",Mauritius,75.00,1.00,"Received in
the Company",
84,"AEQUS FORCE CONSUMER
PRODUCTS PRIVATE LIMITED",KARNATAKA,Belagavi,"Manufacture of other
games and toys n.e.c.","AIGF Investments II Private
Limited",Mauritius,36.92,0.49,"Received in
the Company",
85,Aeris Communications India Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,"Other information technology and computer
service activities n.e.c","Aeris Communications, Inc.",U.S.A,67.50,0.90,Received in the Company,
86,AERODYNE INDIA VENTURES PRIVATE LIMITED,DELHI,South West Delhi,"Other information
technology and computer service activities n.e.c",Aerodyne Systems Sdn Bhd,Malaysia,34.30,0.46,Greenfield,
87,Aerostructures Assemblies India Private Limited,KARNATAKA,Belagavi,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles,
airscrews, he",SAAB AB,Sweden,5.62,0.08,Received in the company,
88,AFG BUSINESS SOLUTIONS (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical
activities n.e.c.",AFG India Holdings Pte Ltd,Singapore,7.00,0.09,Received in the Company,
89,AFG BUSINESS SOLUTIONS (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other professional, scientific and technical
activities n.e.c.",AFG India Holdings Pte Ltd,Singapore,17.63,0.24,Received in the company,
90,"AGARSHA SENIOR CARE
PRIVATE LIMITED",HARYANA,Gurgaon,Nursing care facilities,Agarsha Senior Care LLC,U.S.A,7.00,0.09,"Received in
the Company",
91,AGEYE TECHNOLOGIES (INDIA) PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and maintenance to the
clients","AgEye Technologies, Inc",U.S.A,0.10,0.00,Received in the Company,
92,"AGORA MICROFINANCE INDIA
LIMITED",Maharashtra,Thane,Other credit granting,Agora Microfinance N.V.,Netherland,30.00,0.40,Brownfield,
93,AGP CITY GAS PRIVATE LIMITED,DELHI,South West Delhi,"Distribution and sale of gaseous fuels through
mains",ATLANTIC GULF PACIFIC CO,Philippines,37.02,0.49,Received in the Company,
94,"AGP CITY GAS PRIVATE
LIMITED",DELHI,South West Delhi,"Distribution and sale of
gaseous fuels through","AG AND P LNG MARKETING PTE
LTD",Singapore,38.53,0.51,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
,,,,mains,,,,,,
95,AGP KARAIKAL LNG PRIVATE LIMITED,DELHI,South West Delhi,"Distribution and sale of
gaseous fuels through mains",AG AND P INTERNATIONAL HOLDINGS PTE LTD,Singapore,9.73,0.13,Received in the Company,
96,"Agricrest Investment Advisors
Private Limited",MAHARASHTRA,Mumbai,"Management of other
investment funds",GrowCo Limited,Mauritius,0.75,0.01,"Received in
the company",
97,Agristo Masa Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,"Manufacture of potato flour
and meals and prepared meals of vegetables",IMSTO NV,Belgium,50.00,0.67,Received in the Company,
98,"AHAGURU EDUCATION TECHNOLOGY PRIVATE
LIMITED",TAMIL NADU,Chennai,OTHER EDUCATIONAL SERVICES N.E.C.,Chithra Ramesh and Mahalingam Ramesh,U.S.A,4.00,0.05,Received in the company,
99,"AHAGURU EDUCATION
TECHNOLOGY PRIVATE LIMITED",TAMIL NADU,Chennai,OTHER EDUCATIONAL SERVICES N.E.C.,Uma Rajesh,U.S.A,5.00,0.07,Received in the company,
100,"AHAGURU EDUCATION
TECHNOLOGY PRIVATE LIMITED",TAMIL NADU,Chennai,OTHER EDUCATIONAL SERVICES N.E.C.,Vijay Kumar Manghnani and Vimla Gulabani,U.S.A,7.19,0.10,Received in the company,
101,AHS HOSPITALITY INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in
house boats",Absolute Hotel Services Hong Kong Limited,Thailand,2.31,0.03,Received in the Company,
102,AHS HOSPITALITY INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in
house boats",Absolute Hotel Services Hong Kong Limited,Thailand,0.71,0.01,Received in the company,
103,"AIBONO SMART FARMING
PRIVATE LIMITED",TAMIL NADU,Chennai,"Wholesale of fruits and
vegetables",Lesing Artha Limited,Mauritius,14.60,0.20,"Received in
the company",
104,AIBONO SMART FARMING PRIVATE LIMITED,TAMILNADU,Chennai,Wholesale of fruits and vegetables,"MSlVC 2018V Venture Capital
Investment NT Limited Partnership",Japan,71.60,0.96,Received in the Company,
105,AIBONO SMART FARMING PRIVATE LIMITED,TAMILNADU,Chennai,Wholesale of fruits and vegetables,Rebright Partners 3 Investment Partnership,Japan,21.48,0.29,Received in the Company,
106,"AIIND TECHNOLOGIES INDIA
PRIVATE LIMITED",DELHI,South Delhi,"Manufacture of televisions,
television monitors and",LIAO HONGXU,China,0.10,0.00,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
,,,,displays,,,,,,
