Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING APRIL 2020 TO JUNE 2020",,,,,,,,,,
26,"AARAVALLI LOGISTICS PARK PRIVATE
LIMITED",HARYANA,Gurgaon,Warehousing non-refrigerated,AIL 4 PTE LTD,Singapore,100.00,1.31,"Received in the
company",
27,Aarde Technosoft Private Limited,UTTAR PRADESH,Gautam Buddha Nagar,Other information technology and computer service activities n.e.c,Elara Technologies Pte Ltd,Singapore,55.06,0.73,Received in the Company,
28,Aarush Phase IV Logistics Park Private Ltd,TAMIL NADU,Chennai,Warehousing non-refrigerated,AIL 1 Pte. Ltd,Singapore,157.20,2.06,"Received in the
company",
29,Aarush Phase V Logistics Park Private Ltd,TAMIL NADU,Chennai,Warehousing non-refrigerated,AIL 1 Pte. Ltd,Singapore,155.04,2.03,"Received in the
company",
30,"AARVEE COLD CHAIN LOGISTICS PRIVATE
LIMITED",MAHARASHTRA,Pune,Warehousing of refrigerated (cold storage),Laguna International PTE Limited,Singapore,0.00,0.00,"Received in the
Company",
31,AASMA SEEDS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Growing of vegetables, n.e.c.",The Musashino Seed Co Ltd,Japan,6.63,0.09,"Received in the
Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,In Rs,In US$,,
32,AASMA SEEDS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Growing of vegetables, n.e.c.",UNITED DEVELOPMENT INTERNATIONAL LIMITED,China,6.24,0.08,Received in the Company,
33,AATMA CAPITAL PRIVATE LIMITED,TAMIL NADU,Chennai,"Other financial service activities, except insurance and pension
funding activities, n.e.c.",Nasser Ahmed,UAE,1.46,0.02,"Received in the
company",
34,AATMA CAPITAL PRIVATE LIMITED,TAMIL NADU,Chennai,"Other financial service activities, except insurance and pension
funding activities, n.e.c.",Kamaludeen Kalil Sanofar,UAE,3.22,0.04,"Received in the
company",
35,AATMA CAPITAL PRIVATE LIMITED,TAMIL NADU,Chennai,"Other financial service activities, except insurance and pension
funding activities, n.e.c.",Kamaludeen Kalil Sanofar,UAE,0.46,0.01,"Received in the
company",
