Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING OCTOBER 2018 TO DECEMBER, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,BHARTI TELEMEDIA LIMITED,Mauritius,LION MEADOW INVESTMENT LTD,REGION NOT INDICATED,Television programming and broadcasting activities,"16,237.95",220.53,
2,Mobodexter Software India Pvt Ltd Suncit,U.S.A,"Moodexter Inc 616,Corporate Way,Suite 2-",REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",0.10,0.00,
3,M.S.R Garments Private Ltd,United Kingdom,"Cad And The Dandy Limited, Uk","REGION NOT
INDICATED",Manufacture of all types of textile garments and clothing accessories,2.11,0.03,
4,MEGAVOICE INDIA PRIVATE LIMITED,U.S.A,Impact Global Consulting Inc.,REGION NOT INDICATED,"Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems)",0.02,0.00,
5,TRIVENI POLYMERS PRIVATE LIMITED,Germany,Gerresheimer Glas GmbH,"REGION NOT
INDICATED","Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers,
boxes, cases, carboys, bottles etc.)",108.61,1.47,
6,TRIVENI POLYMERS PRIVATE LIMITED,Germany,Gerresheimer Glas GmbH,REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",337.47,4.58,
7,Vdocipher Media Solutions Private Limite,Singapore,Springboard Solutions Pte Ltd,REGION NOT INDICATED,Computer consultancy and computer facilities management activities,0.00,0.00,
8,MACOM TECHNOLOGY SOLUTIONS INDIA PVT LTD,Ireland,"M/A-COM TECHNOLOGY SOLUTIONS HOLDING
CO",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,0.01,0.00,
9,R R KABEL LIMITED,Singapore,TPG ASIA VII SF PTE. LTD,REGION NOT INDICATED,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)","2,149.99",29.20,
10,Manjushree Technopack Limited,Cyprus,AI Lenarco Midco Limited,"REGION
NOT INDICATED","Manufacture of plastic articles for the packing
of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)","2,863.13",38.88,
11,DOCTORVAHINI PRIVATE LIMITED,Mauritius,ON MAURITIUS,REGION NOT INDICATED,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content",1.71,0.02,
12,Earnest Towers Private Limited,Mauritius,India Alternate Property Limited,"REGION
NOT INDICATED",Construction and maintenance of industrial facilities such as refineries chemical plants etc.,351.58,4.77,
13,Amelio Early Education Private Limited,France,Babilou SAS,REGION NOT INDICATED,Other social work activities without accommodation n.e.c.,3.00,0.04,
14,FSN E-Commerce Ventures Private Limited,Mauritius,"Lighthouse India Fund III, Limited",REGION NOT INDICATED,"Manufacture of cosmetics and toileteries (includes manufacture of pre-shave, shaving or after shave preparations; personal deodorants and anti-respirants; perfumed
bath bath salts and other bath prepa",4.34,0.06,
