Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER APPROVAL ROUTE
RECEIVED DURING OCTOBER 2018 TO DECEMBER, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
39,Tikona Infinet Private Limited,Mauritius,Oak India Investments,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,34.43,0.47,
40,Tikona Infinet Private Limited,Mauritius,Global Long short Partners Mauririus IV,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,22.59,0.31,
41,Tikona Infinet Private Limited,Mauritius,Global Long Short Partners Mauritius I L,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,2.21,0.03,
42,Tikona Infinet Private Limited,Mauritius,Global Long Short Partners Mauritius I L,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.02,0.00,
43,Tikona Infinet Private Limited,Mauritius,Global Long Short Partners Mauritius I L,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,0.09,0.00,
44,Tikona Infinet Private Limited,Mauritius,Global Long Short Partners Mauritius I L,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,299.04,4.06,
45,Tikona Infinet Private Limited,Mauritius,Global Long Short Partners Mauritius I L,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,571.14,7.76,
46,Tikona Infinet Private Limited,Mauritius,Global Long Short Partners Mauritius I L,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,131.89,1.79,
47,Tikona Infinet,Mauritius,Global Long Short,MUMBAI,Activities of Internet access by the,0.09,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,Private Limited,,Partners Mauritius I L,,operator of the wireless infrastructure,,,
