Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
29,BYGGING INDIA LTD,Spain,GLOBAL DOMINION ACCESS S.A.,REGION NOT,Other specialized construction activities,0.72,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,INDICATED,,,,
30,GEM ORION MACHINERY PRIVATE LIMITED,Japan,ORION MACHINERY COMPANY LIMITED,REGION NOT INDICATED,"Manufacture of refrigerating or freezing equipment for industrial use, including assemblies of major components",11.59,0.17,
31,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,"REGION
NOT INDICATED",Providing software support and maintenance to the clients,112.89,1.62,
32,Sorting Hat Technologies Private Limited,Mauritius,SCI Investments V,REGION NOT INDICATED,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",1.78,0.03,
33,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,"REGION
NOT INDICATED",Providing software support and maintenance to the clients,47.35,0.68,
34,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,REGION NOT INDICATED,Providing software support and maintenance to the clients,37.45,0.54,
35,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,REGION NOT INDICATED,Providing software support and maintenance to the clients,27.84,0.4,
36,Tavisca Solutions Private Limited,U.S.A,Affinion Group Inc,REGION NOT INDICATED,"Other data processing, hosting and related activities n.e.c.",40.59,0.58,
37,THINKSYS SOFTWARE PRIVATE LIMITED,U.S.A,Thinksys INC,"REGION NOT
INDICATED",Providing software support and maintenance to the clients,6.58,0.09,
38,ETG AGRO PRIVATE LIMITED,Mauritius,ETG Pulses Bharat Limited,REGION NOT INDICATED,Wholesale of cereals and pulses,1.61,0.02,
39,MOTIVATING GRAPHICS INDIA PRIVATE LIMITE,U.S.A,TIMOTHY G CLARK,REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",0,0,
40,"HAPPY MARKETER DIGITAL PRIVATE
LIMITED",Singapore,Dentsu Aegis Network Singapore Holdings,"REGION NOT
INDICATED",Other information technology and computer service activities n.e.c,0,0,
41,ETG AGRO PRIVATE LIMITED,Mauritius,ETG Pulses Bharat Limited,REGION NOT INDICATED,Wholesale of cereals and pulses,1.81,0.03,
42,ITGPRO SUPPORT SERVICES INDIA PRIVATE LI,United Kingdom,AGRIPROTEIN HOLDINGS UK LIMITED,REGION NOT INDICATED,Architectural and engineering activities and related technical consultancy,0,0,
43,ASCENT MEDITECH LIMITED,Mauritius,NAIVASHA INVESTMENT HOLDINGS LTD.,REGION NOT INDICATED,"Manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc.",932.87,13.43,
44,K & L ARMS COMMUNICATION PRIVATE LIMITED,Singapore,K&L Creative Asia Pte. Ltd.,REGION NOT INDICATED,Advertising,6,0.09,
45,Indeus Life Sciences Private Limited,Netherlands,Nordic Group BV,REGION NOT INDICATED,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and
plasmas; salicylic acid, its",0.05,0,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
46,Fulcrum Commercial Real Estate Services,U.S.A,FULCRUM COMMERCIAL REAL ESTATE SERVICES,"REGION NOT
INDICATED",Data processing activities including report writing,0.77,0.01,
47,NITTEI ENGINEERING PRIVATE LIMITED,Taiwan,MING HSI WU,REGION NOT INDICATED,Architectural and engineering activities and related technical consultancy,0,0,
48,Sitara Solar Energy Private Limited,HongKong,UPC SOLAR INDIA (HK) LIMITED,"REGION NOT
INDICATED",Electric power generation using solar energy,0.1,0,
49,SADHAN ENTERPRISE I PRIVATE LIMITED,Singapore,Rohaan Kapoor,REGION NOT INDICATED,Management consultancy activities,3.5,0.05,
50,Sheorey Digital Systems Private Limited,Singapore,Laminaar Aviation Infotech Pte Ltd,"REGION
NOT INDICATED",Providing software support and maintenance to the clients,200.62,2.89,
51,ASSETSOFT CONSULTING PRIVATE LIMITED,Canada,2498629 ONTARIO INC OPG AS ASSETSOFT,REGION NOT INDICATED,Computer consultancy and computer facilities management activities,0.03,0,
52,Geokul India Private Limited,Malta,Geokul Limited,REGION NOT INDICATED,Providing software support and maintenance to the clients,0.05,0,
53,BOP CONSULTANTS PRIVATE LIMITED,U.S.A,BEACON SYSTEMS GLOBAL LLC,REGION NOT INDICATED,Human resources provision and management of human resources functions,3.48,0.05,
54,"DISPATCH GLOBAL SERVICES INDIA
PRIVATE L",U.S.A,DISPATCH GLOBAL SERVICES INC,"REGION NOT
INDICATED",Other land transport services n.e.c,0.1,0,
55,ENEL VIENTO INDIA PRIVATE LIMITED,Spain,ENEL VIENTO SL,REGION NOT INDICATED,Treatment and disposal of non- hazardous waste,0.05,0,
56,YSI TECH PRIVATE LIMITED,China,SHENGLI ZHOU,REGION NOT INDICATED,"Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives",0.05,0,
57,"RENTLY SOFTWARE DEVELOPMENT
PRIVATE LIMI",U.S.A,Consumer 2.0 Inc,"REGION NOT
INDICATED",Other information technology and computer service activities n.e.c,0.05,0,
58,Cybersol Technologies Private Limited,Singapore,Knowledge Insight Services Pte. Ltd.,REGION NOT INDICATED,Providing software support and maintenance to the clients,0.58,0.01,
59,Odis Water Purification India Private Li,Israel,TSVI TSUR,REGION NOT INDICATED,Management consultancy activities,0.07,0,
60,WESTERN REFRIGERATION PRIVATE LIMITED,Japan,Hoshizaki Corporation,REGION NOT INDICATED,"Manufacture of refrigerating or freezing equipment for industrial use, including assemblies of major components",92.61,1.33,
61,"FAASOS FOOD
SERVICES PRIVATE LIMITED",Mauritius,SCI Investments VI,"REGION
NOT INDICATED","Cafeterias, fast-food restaurants and other food preparation in market stalls",13.12,0.19,
62,ABSYZ SOFTWARE CONSULTING PRIVATE LIMITE,U.S.A,Youngsoft Inc,REGION NOT INDICATED,Computer consultancy and computer facilities management activities,35.25,0.51,
63,SBE RENEWABLES SEVENTEEN PRIVATE,United Kingdom,SBE Seventeen A Limited,REGION NOT,Electric power generation using solar energy,0,0,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIMITED,,,INDICATED,,,,
64,ANI Technologies Private Limited,Singapore,Lazarus Holdings Pte Ltd,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,150,2.16,
65,"E-CLOUD AEON SOFTWARE
TECHNOLOGY PRIVATE",United Kingdom,SHEETAL AMOL MALPANI,"REGION NOT
INDICATED",Providing software support and maintenance to the clients,0.05,0,
66,GEM ORION MACHINERY PRIVATE LIMITED,Japan,ORION MACHINERY COMPANY LIMITED,REGION NOT INDICATED,"Manufacture of refrigerating or freezing equipment for industrial use, including assemblies of major components",11.59,0.17,
67,"SBE RENEWABLES SIXTEEN PRIVATE
LIMITED",United Kingdom,SBE Sixteen A Limited,"REGION NOT
INDICATED",Electric power generation using solar energy,0,0,
68,NUMPY TECHNOLOGIES PRIVATE LIMITED,Canada,CLIK TECHNOLOGIES INC.,REGION NOT INDICATED,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",0.05,0,
69,Royal Sundaram General Insurance Co. Lim,Belgium,AGEAS INSURANCE INTERNATIONAL N V,REGION NOT INDICATED,Non-life insurance,"2,585.77",37.22,
