Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
28,VEGA CONVEYORS AND AUTOMATION PRIVATE LI,Japan,"DAIFUKU CO., LTD.",REGION NOT INDICATED,Manufacture of other lifting and handling equipment and parts thereof,61.59,0.86,
29,GOKALDAS INTIMATEWEAR PRIVATE LIMITED,Cyprus,VARENNA HOLDINGS LIMITED,REGION NOT INDICATED,Manufacture of all types of textile garments and clothing accessories,798.19,11.19,
30,SOLBRIDGE ENERGY PRIVATE LIMITED,Singapore,Amplus Energy Solutions Pte. Ltd.,REGION NOT INDICATED,Electric power generation using solar energy,0.10,0.00,
31,INDIABULLS INFRASTRUCTURE LIMITED,Cayman Islands,"BREP Asia II SBS
Chennai Holding (NQ) Lt",REGION NOT INDICATED,Construction of buildings carried out on own-account basis or on a fee or contract basis,17.72,0.25,
32,Seven Islands Shipping Limited,Mauritius,FIH Mauritius Investments Ltd,REGION NOT INDICATED,Sea and coastal freight water transport,25.27,0.35,
33,Drums Food International Private Limited,Cayman Islands,Mousserena L.P.,REGION NOT INDICATED,"Manufacture of ice-cream, kulfi etc.",42.96,0.60,
34,"EPOWERX LEARNING TECHNOLOGIES
PRIVATE LI",U.S.A,"M/s. Skill-Lync, Inc.","REGION NOT
INDICATED",Web hosting activities,0.08,0.00,
35,ROBERT BOSCH AUTOMOTIVE STEERING PRIVATE,Germany,Robert Bosch Automotive Steering GmbH,REGION NOT INDICATED,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles,road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, ste",625.00,8.76,
36,TAVAGRAHA HEALTH SOLUTIONS PRIVATE LIMIT,U.S.A,AZHAGU INVESTMENTS CORPORATION,REGION NOT INDICATED,Other human health activities n.e.c. (including independent ambulance activities),0.30,0.00,
37,Australian Preimum Solar (India) Pvt. Lt,Australia,Mr. Nikunjkumar Patel,REGION NOT INDICATED,Other non-specialised wholesale trade n.e.c.,1.36,0.02,
38,Seven Islands Shipping Limited,Mauritius,FIH Mauritius Investments Ltd,"REGION NOT
INDICATED",Sea and coastal freight water transport,6.37,0.09,
39,Ruso Chemicals Private Limited,Germany,Ilco Chemikalien GmbH,"REGION
NOT INDICATED","Other professional, scientific and technical activities n.e.c.",0.01,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
40,Hind Pocket Books Private Limted,United Kingdom,PENGUIN BOOKS LIMITED,REGION NOT INDICATED,"Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias (including on CD-ROM)",0.30,0.00,
41,CANCER TREATMENT SERVICES HYDERABAD PRIV,Mauritius,CTSI (Mauritius) Ltd.,REGION NOT INDICATED,Hospital activities,3.15,0.04,
42,Seven Islands Shipping Limited,Mauritius,FIH Mauritius Investments Ltd,"REGION NOT
INDICATED",Sea and coastal freight water transport,6.13,0.09,
43,ROTAREX ENGINEERING PRIVATE LIMITED,Luxembourg,ROTAREX SA,REGION NOT INDICATED,Architectural and engineering activities and related technical consultancy,0.00,0.00,
44,Schaffner India Private Limited,Switzerland,Schaffner EMV AG,REGION NOT INDICATED,Architectural and engineering activities and related technical consultancy,0.50,0.01,
45,XNRGI INDIA PRIVATE LIMITED,U.S.A,"XNRGI INC., USA",REGION NOT INDICATED,"Manufacture of primary cells and primary batteries and rechargeable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material",0.10,0.00,
46,Apex Techno Polymer Pvt Ltd,Belgium,RAVAGO DISTRIBUTION SA,REGION NOT INDICATED,Wholesale of plastic materials in primary forms,26.43,0.37,
47,REDBLACK SOFTWARE PRIVATE LIMITED,U.S.A,REDBLACK SOFTWARE LLC USA,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,3.50,0.05,
48,FSN E-Commerce Ventures Private Limited,U.S.A,Kravis Investment Partners II LLC,REGION NOT INDICATED,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or str",144.97,2.03,
49,URBANCLAP TECHNOLOGIES INDIA PRIVATE LIM,UAE,Vamsi Krishna Duvvuri,REGION NOT INDICATED,Other business support service activities n.e.c,8.66,0.12,
50,"LH GLOBAL HUB SERVICES PRIVATE
LIMITED",Switzerland,LafargeHolcim Ltd,"REGION NOT
INDICATED",Providing data entry services,0.00,0.00,
51,FUNLIKE TECH INDIA PRIVATE LIMITED,Cayman Islands,OHHO Corporation,REGION NOT INDICATED,Providing software support and maintenance to the clients,0.00,0.00,
52,LOVEDAY ENTERPRISES PRIVATE LIMITED,HongKong,Zimmermann D A,REGION NOT INDICATED,"Activities of commission agents dealing in wholesale trade in machinery and equipment, other than transport machinery",0.00,0.00,
53,ASSURGEN PHARMA PRIVATE LIMITED,U.S.A,Naveen Parupalli,REGION NOT INDICATED,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its",7.00,0.10,
54,ONEDIGITALAD TECHNOLOGIES PRIVATE LIMITE,Germany,Digital East GmbH,REGION NOT INDICATED,Other information service activities n.e.c.,47.60,0.67,
55,Avanse Financial Services Limited,Mauritius,Olive Vine Investment Ltd,REGION NOT INDICATED,Other credit granting,210.00,2.94,
56,Avanse Financial Services Limited,Mauritius,Olive Vine Investment Ltd,REGION NOT INDICATED,Other credit granting,"2,716.11",38.08,
57,Helmerich and Payne Technologies Private,U.S.A,Helmerich & Payne Technologies LLC,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,0.00,0.00,
58,INDIABULLS INFRASTRUCTURE,Cayman Islands,BREP VIII SBS Chennai Holding (NQ) Ltd,REGION NOT,Construction of buildings carried out on own-account basis or on a fee or contract,3.10,0.04,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIMITED,,,INDICATED,basis,,,
59,SBE RENEWABLES FOURTEEN PRIVATE LIMITED,United Kingdom,SBE Fourteen A Limited,REGION NOT INDICATED,Electric power generation using solar energy,0.00,0.00,
60,Hind Pocket Books Private Limted,United Kingdom,PENGUIN BOOKS LIMITED,REGION NOT INDICATED,"Publishing of books, brochures, leaflets and similar publications, including publishing encyclopedias (including on CD-ROM)",0.65,0.01,
61,ANTHEA AROMATICS PVT LTD,Mauritius,DYNAMIC INDIA FUND S4 US I,REGION NOT INDICATED,Manufacture of synthetic aromatic products,1.60,0.02,
62,SOLARA ACTIVE PHARMA SCIENCES LIMITED,Singapore,TPG Growth IV SF Pte. Ltd.,REGION NOT INDICATED,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",61.30,0.86,
63,"Nextgen Project Management Systems
Priva",Mauritius,ON Mauritius,"REGION NOT
INDICATED",Other business support service activities n.e.c,6.30,0.09,
