Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING OCTOBER TO DECEMBER, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,NORFOLK MECHANICAL (INDIA) PVT LTD,Australia,RCR INFRASTRUCTURE ( CORPORATE) PTY LTD,MUMBAI,"Installation of heating systems (electric, gas and oil), furnaces, cooling towers, non-electric solar",2.57,0.04,
2,TR7 HEALTHCARE (INDIA) PRIVATE LIMITED,Australia,TR7 HEALTHCARE PTY LTD,NEW DELHI,Other educational services n.e.c.,7.46,0.11,
3,EXAURIC INDIA PVT LTD,Australia,VIVEK PANDYA,AHMEDABAD,"Other data processing, hosting and related activities n.e.c.",0.05,0.00,
4,STAYWELL HOSPITALITY MANAGEMENT PVT LTD,Australia,STAYWELL HOSPITALITY MANAGEMENT PTE. LTD,NEW DELHI,Management consultancy activities,1.25,0.02,
5,"SUMO INVESTMENT MANAGEMENT PRIVATE
LIMIT",Australia,JAIMIN BABUSHANKERSINH YADAV,BANGALORE,Management consultancy activities,0.03,0.00,
6,INDO GOLD MINES PVT LTD,Australia,INDO GOLD LIMITED,BANGALORE,"Mining of precious metal ore (gold, silver)",1.16,0.02,
7,OMEGA DECORATIVE & INDUSTRIAL PAINTS (IN,Australia,OMEGA PAINTS PTY LIMITED,BANGALORE,"Manufacture of paints and varnishes, enamels or lacquers",0.10,0.00,
8,E-SMART SYSTEMS PVT LTD,Australia,gregory douglas strohfeldt,NEW DELHI,Other information technology and computer service activities n.e.c,1.70,0.03,
9,BRAVO CAREERS PVT LTD,Australia,RAJIV DHAR,MUMBAI,Educational support services,0.01,0.00,
10,CARE ESSENTIALS INTERNATIONAL PRIVATE LI,Australia,care essentials pty ltd,NEW DELHI,Manufacture of other medical and dental instruments n.e.c.,28.86,0.44,
11,ECA GLOBAL EDUCATION INDIA PVT LTD,Australia,EDUCATION CENTRE OF AUSTRALIA PTY LTD,AHMEDABAD,Higher education in other professional/ vocational courses leading to a degree or equivalent,10.32,0.16,
12,OGM TECHNICAL INSTITUTE INDIA PRIVATE LI,Australia,OGM TECHNICAL INSTITUTE PTY LTD,NEW DELHI,Higher education in other professional/ vocational courses leading to a degree or equivalent,0.10,0.00,
13,PREENOS CROWD TECHNOLOGIES PRIVATE LIMIT,Australia,STEVEN COLES,BANGALORE,Other information technology and computer service activities n.e.c,0.06,0.00,
14,ANSALDO STS TRANSPORTATION SYSTEMS INDIA,Australia,ANSALDO STS AUSTRALIA PTY LTD,BANGALORE,Manufacture of mechanical and electro- mechanical signalling safety and traffic control equipment for,"1,400.00",21.52,
15,THIESS INDIA PVT LTD,Australia,THIESS PTY LTD,KOLKATA,Opencast mining of hard coal,49.50,0.76,
16,NEWPARK DRILLING FLUIDS INDIA PL(OLD- RH,Australia,NEWPARK DRILLING FLUIDS (AUSTRALIA)  LTD,MUMBAI,Services incidental to off shore oil extraction,103.68,1.59,
17,RECALL INDIA INFORMATION MGMT.PVT LTD,Australia,BRAMBLES INDIA PTY LIMITED,MUMBAI,"Other professional, scientific and technical activities n.e.c.",480.00,7.38,
18,"RECALL INDIA INFORMATION MGMT.PVT
LTD",Australia,BRAMBLES INDIA PTY LIMITED,MUMBAI,"Other professional, scientific and technical activities n.e.c.",117.74,1.81,
19,A3R DIGITAL PVT LTD,Australia,HEMA SHARMA,NEW DELHI,Advertising,1.26,0.02,
20,GEOMYSORE SERVICES (INDIA) PVT LTD,Australia,AUSTRALIAN INDIAN RESOURCES LIMITED,NEW DELHI,"Mining of precious metal ore (gold, silver)",14.08,0.22,
21,"MEDTECH INDIA P LTD.(FORMERLY MEDTEC
HEA",Australia,MEDTECH GLOBAL LTD,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding
web-page",11.65,0.17,
22,DIA VIKAS CAPITAL PVT LTD,Australia,Opportunity International Australia Lim,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",120.00,1.80,
23,DIA VIKAS CAPITAL PVT LTD,Australia,Opportunity International Australia LIm,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",192.00,2.88,
24,DIA VIKAS CAPITAL PVT LTD,Australia,Oppoutunity International Australia Limi,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",49.96,0.75,
25,DIA VIKAS CAPITAL PVT LTD,Australia,Opportunity International Australia Limi,NEW DELHI,"Other financial service activities, except insurance and pension funding activities, n.e.c.",360.93,5.42,
26,INDO GOLD RESOURCES PVT LTD,Australia,INDO GOLD LTD,NEW DELHI,Support activities for other mining and quarrying,0.32,0.00,
27,INDO GOLD MINES PVT LTD,Australia,INDO GOLD LIMITED,BANGALORE,"Mining of precious metal ore (gold, silver)",0.72,0.01,
28,DAYA DIMENSI INDIA PRIVATE LIMITED,Australia,DAYA DIMENSI GLOBAL PTY LTD,BANGALORE,Providing software support and maintenance to the clients,0.00,0.00,
29,SUMO INVESTMENT MANAGEMENT PRIVATE LIMIT,Australia,SURENDRA PATHER,BANGALORE,Management consultancy activities,0.04,0.00,
30,SUMO INVESTMENT MANAGEMENT PRIVATE LIMIT,Australia,JAIMIN BABUSHANKERSINH YADAV,BANGALORE,Management consultancy activities,0.01,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
31,MARANATHA IMPORT EXPORT INDIA PRIVATE LI,Australia,MARANATHA IMPORT EXPORT PTY LTD,BANGALORE,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products",1.00,0.02,
32,MARANATHA IMPORT EXPORT INDIA PRIVATE LI,Australia,ANGELA CAROL SALEH,BANGALORE,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products",0.00,0.00,
33,SHACHIHATA (INDIA )P LTD.(FORMERLY ARTLI,Australia,RANA HOLDING PTY LTD,CHENNAI,"Wholesale of paper and other stationery items; books, magazines and newspapers",0.40,0.01,
34,BRADKEN INDIA PRIVATE LIMITED,Australia,bradken operations pty ltd,CHENNAI,Manufacture of other iron and steel casting and products thereof,287.19,4.31,
35,BRADKEN INDIA PRIVATE LIMITED,Australia,bradken finance pty ltd,CHENNAI,Manufacture of other iron and steel casting and products thereof,0.00,0.00,
36,SHACHIHATA (INDIA )P LTD.(FORMERLY ARTLI,Australia,RANA HOLDING PTY LTD,CHENNAI,"Wholesale of paper and other stationery items; books, magazines and newspapers",9.85,0.15,
