Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING APRIL 2016 TO JUNE, 2016",,,,,,,,
30,ZOOROPA FOODS PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,NEW DELHI,Activities of holding companies,33.66,0.50,
31,AKORN INDIA PVT LTD,Mauritius,WORLDAKORN PHARMA MAURITIUS,NEW DELHI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine","1,059.20",15.83,
32,UNIQUEST INFRA,Mauritius,GHIR INVESTMENTS,NEW DELHI,Construction and maintenance,20.00,0.30,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,VENTURES PVT,,(MAURITIUS) LTD,,"of motorways, streets, roads, other vehicular and pedestrian ways, highways,",,,
33,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LTD,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",132.00,1.97,
34,L & T FINANCE HOILDINGS LTD,Mauritius,VARIOUS,MUMBAI,Activities of holding companies,"2,447.53",36.58,
35,FOX STAR STUDIOS INDIA PVT LTD,Mauritius,FOX STAR STUDIOS HOLDINGS LIMITED,MUMBAI,Production of motion picture,271.65,4.06,
36,MYLAN LABORATORIES LTD,Netherlands,"Mylan Group B.V, netherlands",HYDERABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics,
endocrine","24,768.75",372.63,
37,WOLTERS KLUWER (INDIA) PVT LTD,Netherlands,Wolters Kluwer International Holdings BV,NEW DELHI,Publishing of journals and periodicals,205.00,3.08,
38,IKEA INDIA PRIVATE LIMITED,Netherlands,INGKA HOLDING OVERSEAS B.V.,NEW DELHI,Retail sale of household furniture,"4,225.77",62.79,
39,IKEA INDIA PRIVATE LIMITED,Netherlands,INGKA PRO HOLDING B.V.,NEW DELHI,Retail sale of household furniture,4.23,0.06,
40,"WILHELMSEN
MARITIME SERVICES PVT LTD (O/",Norway,BARWIL AGENCIES AS,MUMBAI,Sea and coastal freight water transport,67.26,1.01,
41,"NEXUS FLIGHT OPERATIONS INDIA PVT
LTD",Saudi Arabia,"NEXUS FLIGHT OPERATIONS SERVICES
LLC",MUMBAI,"Activities related to air transport of passengers,
animals or freight",1.40,0.02,
42,BTI PAYMENTS PRIVATE LIMITED,Singapore,BTI PAYMENTS SINGAPORE PTE LTD,BANGALORE,Activities auxiliary to financial service activities n.e.c.,243.07,3.63,
43,INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,Asian Genco Pte.LTD (AGPL),HYDERABAD,Other business support service activities n.e.c.,21.34,0.32,
44,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,AAPC SINGAPORE PTE LTD,NEW DELHI,Activities of holding companies,9.60,0.14,
45,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,APHV INDIA INVESTCO. PVT LTD,NEW DELHI,Activities of holding companies,10.80,0.16,
46,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,APHV INDIA INVESTCO PVT LTD,NEW DELHI,Activities of holding companies,29.52,0.44,
47,TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,Singapore,AAPC SINGAPORE PTE LTD,NEW DELHI,Activities of holding companies,26.24,0.39,
48,JUBILANT GENERICS LIMITED,Singapore,JUBILANT PHARMA LIMITED,NEW DELHI,"Manufacture of other pharmaceutical and botanical products n.e.c. like hina
powder etc.",1.00,0.01,
49,JUBILANT GENERICS LIMITED,Singapore,JUBILANT PHARMA LIMITED,NEW DELHI,"Manufacture of other pharmaceutical and botanical products n.e.c. like hina
powder etc.","4,117.40",61.54,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
50,A.MENARINI INDIA PRIVATE LIMITED,Singapore,A.MENARINI ASIA PACIFIC PTE LTD,AHMEDABAD,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles",209.43,3.15,
51,BAXTER INDIA P. LTD.,Singapore,BAXTER PACIFIC INVESTMENTS PTE. LTD,NEW DELHI,Manufacture of allopathic pharmaceutical preparations,152.00,2.26,
52,INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,ASIAN GENCO PTE LTD,NEW DELHI,Electric power generation by hydroelectric power plants,4.97,0.07,
53,INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,ASIAN GENCO PTE LTD,NEW DELHI,Electric power generation by hydroelectric power plants,13.29,0.20,
54,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Singapore,CORE INFRASTRUCTURE INDIA FUND PTE LTD,NEW DELHI,Activities of holding companies,291.95,4.39,
55,TATA SIA AIRLINE LIMITED,Singapore,SINGAPORE AIRLINES LTD,NEW DELHI,Renting and operational leasing of air transport equipment without operator,588.00,8.85,
56,SIDBI SOCIAL VENTURE TRUST,United Kingdom,DEPERTMENT FOR INTERNATIONAL DEVELOPMENT,NEW DELHI,"Trusts, funds and other financial vehicles",500.00,7.43,
57,"CLARKS FUTURE
FOOTWEAR PRIVATE LIMITED",United Kingdom,"C & J CLARK
INTERNATIONAL LIMITED",NEW DELHI,Retail sale of footwear,50.00,0.74,
58,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases,
posters etc.,",9.80,0.15,
59,HAYMARKET MEDIA (INDIA) PVT LTD,United Kingdom,HAYMARKET WORLDWIDE LTD,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",25.00,0.37,
60,WORLDQUANT RESEARCH (BANGALORE) PVT LTD,U.S.A,WORLDQUANT LLC,MUMBAI,Data processing activities including report writing,8.04,0.12,
