Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING JANUARY 2020 TO MARCH 2020",,,,,,,,,,
27,AEQUS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks,
nacelles, airscrews, he",Aequs Manufacturing Investments Private Limited,Mauritius,71.04,0.96,Received in the Company,
28,AEQUS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks,
nacelles, airscrews, he",Andrew David Buchan,U.S.A,2.00,0.03,Received in the Company,
29,AGARSHA SENIOR CARE PRIVATE LIMITED,HARYANA,Gurgaon,Nursing care facilities,Agarsha Senior Care LLC,U.S.A,50.00,0.67,Received in the Company,
30,Agricrest Investment Advisors Private Limited,MAHARASHTRA,Mumbai,Activities auxiliary to financial service activities n.e.c.,Growco Limited,Mauritius,0.05,0.00,Received in the company,
31,Agricrest Investment Advisors Private Limited,MAHARASHTRA,Mumbai,Activities auxiliary to financial service activities n.e.c.,Growco Limited,Mauritius,0.05,0.00,Received in the company,
32,Agristo Masa Private Limited,UTTAR PRADESH,"Gautam Buddha
Nagar",Manufacture of potato flour and meals and prepared meals of vegetables,IMSTO NV,Belgium,0.01,0.00,Received in the company,
33,AKARA CAPITAL ADVISORS PRIVATE LIMITED,DELHI,South Delhi,Financial leasing,MORUS TECHNOLOGIES PTE. LTD.,Singapore,419.99,5.65,Received in the Company,
34,AKARA CAPITAL ADVISORS PRIVATE LIMITED,DELHI,South Delhi,Financial leasing,MORUS TECHNOLOGIES PTE. LTD.,Singapore,0.01,0.00,Received in the Company,
35,Aktinos Pharma Private Limited,TELANGANA,Hyderabad,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",RK Pharma Inc,U.S.A,73.90,1.03,Received in the company,
36,ALEPT CONSULTING PRIVATE LIMITED,DELHI,South West Delhi,Providing software support and maintenance to the clients,Affirma Consulting LLC,U.S.A,14.84,0.21,Received in the company,
Sr.No.,Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
37,Allcargo Logistics & Industrial Park Private Limited,MAHARASHTRA,Mumbai,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in
foreign trade zones",BRE ASIA URBAN HOLDINGS LTD,Mauritius,50.36,0.68,Received in the Company,
38,ALLYO BUSINESS AI PRIVATE LIMITED,MAHARASHTRA,Pune,"Other data processing, hosting and related activities n.e.c.",SASS LABS INC,U.S.A,0.10,0.00,BrownField,
39,Alpha Thought Technologies,State Not Indicated,District Not Indicated,Other information service activities n.e.c.,Acurus Solutions Inc,U.S.A,3.22,0.05,-,
40,ALPHAINVENTA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other information technology and computer service activities n.e.c,ALPHAINVENTA PRIVATE LIMITED,Singapore,0.03,0.00,Received in the Company,
41,"AMERICAN INSTITUTE OF PATHOLOGY AND LABORATORY
SCIENCES PRIVATE LIMITED",TELANGANA,K.V.Rangare ddy,Activities of independent diagnostic/pathological laboratories,CTSI (Mauritius) Ltd,Mauritius,6.19,0.09,Received in the company,
42,"AMERICAN INSTITUTE OF
PATHOLOGY AND LABORATORY SCIENCES PRIVATE LIMITED",TELANGANA,K.V.Rangare ddy,Activities of independent diagnostic/pathological laboratories,CTSI Mauritius Ltd,Mauritius,0.37,0.01,Received in the company,
43,AMERIND DATA SOLUTIONS PRIVATE LIMITED,ANDHRA PRADESH,Visakhapatn am,Data processing activities including report writing,SAFETYSTRATUS INC,U.S.A,1.60,0.02,Received in the company,
44,AMERIND DATA SOLUTIONS PRIVATE LIMITED,ANDHRA PRADESH,Visakhapatn am,Data processing activities including report writing,SAFETYSTRATUS INC,U.S.A,1.60,0.02,Received in the company,
45,Amplus Green One Power,DELHI,South Delhi,Electric power generation using solar energy,Amplus Energy Solutions Pte. Ltd.,Singapore,0.10,0.00,Received in the company,
46,ANGARAI TECHNOLOGY (INDIA) PRIVATE LIMITED,TAMIL NADU,Chennai,Computer consultancy and computer facilities management activities,"ANGARAI INTERNATIONAL INC, DBA ANGARAI USA",U.S.A,0.12,0.00,Received in the Company,
47,ANGARAI TECHNOLOGY (INDIA) PRIVATE LIMITED,TAMIL NADU,Chennai,Computer consultancy and computer facilities management activities,ANGARAI INTERNATIONAL INC DBA ANGARAI,U.S.A,0.00,0.00,Received in the company,
48,ANI Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,DIG INVESTMENT XX AB,Sweden,51.05,0.69,Received in the Company,
49,ANI Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,DIG Investment XX AB,Sweden,255.31,3.43,Received in the Company,
50,ANRICK ELECTRONICS INDIA PRIVATE LIMITED,UTTAR PRADESH,"Gautam
Buddha Nagar",Manufacture of other electrical equipment,AKM INDUSTRIAL COMPANY LIMITED,HongKong,0.00,0.00,Received in the Company,
51,APARNA PAPER PROCESSING INDUSTRY PVT. LTD.,WEST BENGAL,Howrah,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes,
cases, carboys, bottles etc.)",GPC Holdings B.V,Netherland,57.33,0.77,Received in the Company,
52,APARNA PAPER PROCESSING INDUSTRY PVT. LTD.,WEST BENGAL,Howrah,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes,
cases, carboys, bottles etc.)",GPC Holdings B.V,Netherland,57.33,0.77,Received in the Company,
53,Atlantic Lubricants and Specialities Pvt Limited,MAHARASHTRA,Mumbai,"Wholesale of solid, liquid and gaseous fuels and related products",Motul Asia Pacific Pte. Ltd,Singapore,161.95,2.27,Received in the company,
54,Atlantic Lubricants and Specialities Pvt Limited,MAHARASHTRA,Mumbai,"Wholesale of solid, liquid and gaseous fuels and related products",Motul,France,4.05,0.05,Received in the Company,
Sr.No.,Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Inv Type,
,,,,,,,In Rs.,In US$,,
55,AUTHLAYER LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding
web-page designing",AUTHLAYER INC.,U.S.A,0.01,0.00,Received in the company,
56,AUTORABIT SOFTWARE PRIVATE LIMITED,TELANGANA,Hyderabad,Computer consultancy and computer facilities management activities,AutoRABIT Holding Inc,U.S.A,38.46,0.52,Received in the Company,
57,AVEDNA KREA PRIVATE LIMITED,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,VAJRO INC,U.S.A,0.00,0.00,Received in the Company,
58,AVEDNA KREA PRIVATE LIMITED,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,VAJRO INC,U.S.A,0.05,0.00,Received in the company,
59,AVEDNA KREA PRIVATE LIMITED,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,VAJRO INC,U.S.A,0.05,0.00,Received in the company,
60,AVES Shopping Network Private Limited,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,Bulbulive Shopping Network Pte Ltd,Singapore,0.05,0.00,Received in the company,
61,AVES Shopping Network Private Limited,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,Bulbulive Shopping Network Pte Ltd,Singapore,0.05,0.00,Received in the Company,
62,AXIDIO TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,AXIDIO CORPORATION,U.S.A,0.01,0.00,Received in the company,
63,AXIDIO TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Axidio Corporation,U.S.A,0.08,0.00,Received in the company,
64,B2X Service Solutions India Private Limited,MAHARASHTRA,Mumbai,Repair and maintenance of computer and peripheral equipment,B2X Care Solutions GmbH,Germany,38.84,0.54,Received in the company,
65,B2X Service Solutions India Private Limited,MAHARASHTRA,Mumbai,Repair and maintenance of computer and peripheral equipment,B2X Care Solutions GmbH,Germany,5.65,0.08,Received in the Company,
66,BAGPAT GREEN ENERGY PRIVATE LIMITED,UTTAR PRADESH,Bagpat,Distribution and sale of gaseous fuels through mains,THINK GAS INVESTMENTS PTE. LTD.,Singapore,93.06,1.30,BrownField,
67,BALBIR HOLDINGS PRIVATE LIMITED,MAHARASHTRA,Nagpur,"Other financial service activities, except insurance and pension funding activities, n.e.c.",CHAN CHIN PENG PHILIP,Country Details Awaited,0.07,0.00,Received in the company,
68,BDP UGL GLOBAL LOGISTICS INDIA PVT LTD,MAHARASHTRA,Mumbai,Activities of shipping cargo agents,BDP Global Service Pte Limited,Singapore,0.70,0.01,Received in the company,
69,BDP UGL GLOBAL LOGISTICS INDIA PVT LTD,MAHARASHTRA,Mumbai,Activities of shipping cargo agents,BDP Global Service Pte Limited,Singapore,0.25,0.00,Received in the company,
70,BECKER ROBOTIC EQUIPMENT INDIA PRIVATE LIMITED,MAHARASHTRA,Pune,Manufacture of other special-purpose machinery n.e.c.,Johan Jakob Broekhuijsen,Germany,0.00,0.00,Received in the company,
71,Bennett Coleman & Co Ltd.,MAHARASHTRA,Mumbai,Publishing of journals and periodicals,SISTEMA ASIA FUND PTE LTD,Singapore,64.21,0.86,Received in the Company,
72,Bharat Serums and Vaccines Limited,MAHARASHTRA,Mumbai,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",OrbiMed Asia II Mauritius FVCI Investments Limited,Mauritius,0.09,0.00,Received in the company,
73,Bharat Serums and Vaccines Limited,MAHARASHTRA,Mumbai,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",OrbiMed Asia II Mauritius FVCI Investments Limited,Mauritius,1869.82,26.16,Received in the company,
